C:/Data/BAS_sjro/Sept_2015/HER14/    28/09/2015  re-evaluated data   peakarea,,,,,,,BACON v2.5  HER14-M5 (cal a BP),,,,,,,,,,,,cps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,element/inc+coh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,element/(coh/inc),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ln(Element/Ti)  where Ti>50 cps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,% of TSN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Section,ID,filename,position_mm,Section_depth_cm,Field_depth_cm,Strat_depth_cm,SH20_min_age_95CI,SH20_max_age_95CI,SH20_median_age,SH20_mean_age,sample surface,validity,E_gain,E_offset,F_slope,F_offset,kcps,MSE,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Se,Br,Rb,Sr,Y,Zr,Sn,I,Cs,Ba,Ta,W,Ir,Pt,Au,Hg,Pb,Th,U,D1,S1,S2,S3,Mo_inc,Mo_coh,inc&coh,inc_coh,coh_inc,cps_sum,Norm_Ratio_SUM,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Se,Br,Rb,Sr,Y,Zr,Sn,I,Cs,Ba,Ta,W,Ir,Pt,Au,Hg,Pb,Th,U,D1,S1,S2,S3,Mo_inc,Mo coh,inc+coh,inc_coh,coh_inc,coh_inc_Ratio_SUM,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Se,Br,Rb,Sr,Y,Zr,Sn,I,Cs,Ba,Ta,W,Ir,Pt,Au,Hg,Pb,Th,U,D1,S1,S2,S3,Mo_inc,Mo_coh,inc&coh,inc_coh,coh_inc,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Se,Br,Rb,Sr,Y,Zr,Sn,I,Cs,Ba,Ta,W,Ir,Pt,Au,Hg,Pb,Th,U,D1,S1,S2,S3,Mo_inc,Mo_coh,inc&coh,inc_coh,coh_inc,Norm_Ratio_SUM,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Se,Br,Rb,Sr,Y,Zr,Sn,I,Cs,Ba,Ta,W,Ir,Pt,Au,Hg,Pb,Th,U,D1,S1,S2,S3,Mo_inc,Mo_coh,SUM,SUM_main,Total scatter %
HER14_2A,HER14_2A_1,C:/Data/BAS_sjro/Sept_2015/HER14/HER2A-XRF/XRF data/L000000.spe,316,1.5,1.5,1.5,114.95,206.6,162.93,161.68,6.62,1,0.018359,-0.018,0.007267,0.110437,25331,1.36,0,14,9,19,46,32,111,66,513,100,23,22,160,7321,53,227,45,15,0,104,1944,6,1397,0,965,0,19,0,0,12,0,0,0,0,0,168,0,0,94,45,9,0,44375,7798,52173,5.690561682,0.175729577,65564,1.256665325,0,0.000268338,0.000172503,0.000364173,0.000881682,0.000613344,0.002127537,0.001265022,0.009832672,0.0019167,0.000440841,0.000421674,0.00306672,0.140321622,0.001015851,0.004350909,0.000862515,0.000287505,0,0.001993368,0.037260652,0.000115002,0.026776302,0,0.018496157,0,0.000364173,0,0,0.000230004,0,0,0,0,0,0.003220056,0,0,0.001801698,0.000862515,0.000172503,0,0.850535718,0.149464282,1,0.000109071,3.37E-06,373095.9862,0,79.66786355,51.21505514,108.120672,261.7658374,182.0979738,631.6523468,375.577071,2919.258143,569.0561682,130.8829187,125.192357,910.4898692,41660.60208,301.5997692,1291.757502,256.0752757,85.35842524,0,591.818415,11062.45191,34.14337009,7949.71467,0,5491.392024,0,108.120672,0,0,68.28674019,0,0,0,0,0,956.0143627,0,0,534.9127982,256.0752757,51.21505514,0,252518.6747,44375,296893.6747,32.38249226,1,NA,-1.9661,-2.4079,-1.6607,-0.7765,-1.1394,0.1044,-0.4155,1.6351,0,-1.4697,-1.5141,0.47,4.2933,-0.6349,0.8198,-0.7985,-1.8971,NA,0.0392,2.9673,-2.8134,2.6369,NA,2.267,NA,-1.6607,NA,NA,-2.1203,NA,NA,NA,NA,NA,0.5188,NA,NA,-0.0619,-0.7985,-2.4079,NA,6.0953,4.3565,6.2572,-2.8664,-6.344,1.256665325,0,0.02,0.01,0.03,0.07,0.05,0.17,0.1,0.78,0.15,0.04,0.03,0.24,11.17,0.08,0.35,0.07,0.02,0,0.16,2.97,0.01,2.13,0,1.47,0,0.03,0,0,0.02,0,0,0,0,0,0.26,0,0,0.143371362,0.068635227,0.013727045,0,67.68,11.89,100,99.69,79.58
HER14_2A,HER14_2A_2,C:/Data/BAS_sjro/Sept_2015/HER14/HER2A-XRF/XRF data/L000001.spe,317,1.6,1.6,1.6,122.74,213.55,170.07,168.88,6.64,1,0.018359,-0.018,0.007324,0.110437,25557,1.37,0,0,0,0,36,27,115,46,671,103,0,0,69,6232,0,180,90,84,0,102,1991,76,2041,0,674,0,0,5,0,23,6,0,0,0,0,0,39,72,30,104,20,0,44676,8052,52728,5.548435171,0.180230997,65410,1.240517372,0,0,0,0,0.000682749,0.000512062,0.002181004,0.000872402,0.012725687,0.001953421,0,0,0.001308603,0.118191473,0,0.003413746,0.001706873,0.001593081,0,0.001934456,0.037759824,0.001441359,0.038708087,0,0.012782582,0,0,9.48E-05,0,0.000436201,0.000113792,0,0,0,0,0,0.000739645,0.001365498,0.000568958,0.001972387,0.000379305,0,0.847291761,0.152708239,1,0.000105227,3.42E-06,362923.1446,0,0,0,0,199.7436662,149.8077496,638.0700447,255.2280179,3723,571.4888227,0,0,382.8420268,34577.84799,0,998.7183308,499.3591654,466.0685544,0,565.9403875,11046.93443,421.681073,11324.35618,0,3739.645306,0,0,27.74217586,0,127.6140089,33.29061103,0,0,0,0,0,216.3889717,399.4873323,166.4530551,577.0372578,110.9687034,0,247881.8897,44676,292557.8897,30.78513285,1,NA,NA,NA,NA,-1.0512,-1.3389,0.1102,-0.8061,1.874,0,NA,NA,-0.4006,4.1027,NA,0.5582,-0.1349,-0.2039,NA,-0.0098,2.9617,-0.304,2.9865,NA,1.8785,NA,NA,-3.0253,NA,-1.4992,-2.843,NA,NA,NA,NA,NA,-0.9712,-0.3581,-1.2335,0.0097,-1.639,NA,6.0725,4.3589,6.2382,-2.9212,-6.3482,1.240517372,0,0,0,0,0.06,0.04,0.18,0.07,1.03,0.16,0,0,0.11,9.53,0,0.28,0.14,0.13,0,0.16,3.04,0.12,3.12,0,1.03,0,0,0.01,0,0.04,0.01,0,0,0,0,0,0.06,0.11,0.045864547,0.158997095,0.030576364,0,68.3,12.31,100,99.66,80.61
HER14_2A,HER14_2A_3,C:/Data/BAS_sjro/Sept_2015/HER14/HER2A-XRF/XRF data/L000002.spe,318,1.7,1.7,1.7,130.23,220.04,177.27,176.08,6.65,1,0.01836,-0.018,0.007262,0.110437,25943,1.35,0,9,0,0,48,30,104,55,820,161,11,4,173,9567,102,220,89,84,0,6,1752,112,1983,0,870,5,0,0,0,81,58,0,0,0,0,6,9,29,96,57,0,1.29E+15,44092,7895,51987,5.584800507,0.179057425,68375,1.315232654,0,0.00017312,0,0,0.000923308,0.000577067,0.0020005,0.001057957,0.015773174,0.003096928,0.000211591,7.69E-05,0.003327755,0.184026776,0.001962029,0.004231827,0.001711966,0.001615789,0,0.000115413,0.033700733,0.002154385,0.038144151,0,0.016734953,9.62E-05,0,0,0,0.001558082,0.001115664,0,0,0,0,0.000115413,0.00017312,0.000557832,0.001846616,0.001096428,0,24813895782,0.848135111,0.151864889,1,0.000107427,3.44E-06,381860.7346,0,50.26320456,0,0,268.0704243,167.5440152,580.8192527,307.1640279,4579.536415,899.1528816,61.43280557,22.33920203,966.1704877,53429.78645,569.6496517,1228.656111,497.0472451,469.1232426,0,33.50880304,9784.570488,625.4976567,11074.6594,0,4858.776441,27.92400253,0,0,0,452.368841,323.9184294,0,0,0,0,33.50880304,50.26320456,161.9592147,536.1408486,318.3336289,0,7.20E+15,246245.0239,44092,290337.0239,31.1899967,1,NA,-2.8842,NA,NA,-1.2102,-1.6802,-0.437,-1.0741,1.6279,0,-2.6835,-3.6951,0.0719,4.0847,-0.4564,0.3122,-0.5928,-0.6506,NA,-3.2896,2.3871,-0.3629,2.511,NA,1.6871,-3.472,NA,NA,NA,-0.687,-1.021,NA,NA,NA,NA,-3.2896,-2.8842,-1.7141,-0.5171,-1.0384,NA,29.712,5.6126,3.8926,5.7773,-3.3614,-6.8015,1.315232654,0,0.01,0,0,0.07,0.04,0.15,0.08,1.2,0.24,0.02,0.01,0.25,13.99,0.15,0.32,0.13,0.12,0,0.01,2.56,0.16,2.9,0,1.27,0.01,0,0,0,0.12,0.08,0,0,0,0,0.01,0.01,0.04,0.140402194,0.083363803,0,1.89E+12,64.49,11.55,100,99.56,76.03
HER14_2A,HER14_2A_4,C:/Data/BAS_sjro/Sept_2015/HER14/HER2A-XRF/XRF data/L000003.spe,319,1.8,1.8,1.8,137.69,227.03,184.47,183.27,6.66,1,0.018362,-0.018,0.007226,0.110437,25354,1.27,0,20,10,22,29,25,111,94,562,200,10,15,113,9209,58,132,69,46,0,48,1586,0,1675,0,725,0,0,0,0,63,150,0,0,0,0,19,54,51,70,101,18,1.26E+15,42703,7693,50396,5.55089042,0.180151277,65492,1.299547583,0,0.000396857,0.000198428,0.000436543,0.000575442,0.000496071,0.002202556,0.001865227,0.011151679,0.003968569,0.000198428,0.000297643,0.002242241,0.182732757,0.001150885,0.002619255,0.001369156,0.000912771,0,0.000952457,0.031470752,0,0.033236765,0,0.014386062,0,0,0,0,0.001250099,0.002976427,0,0,0,0,0.000377014,0.001071514,0.001011985,0.001388999,0.002004127,0.000357171,25001984284,0.847348996,0.152651004,1,0.000110145,3.57E-06,363538.9154,0,111.0178084,55.5089042,122.1195892,160.9758222,138.7722605,616.1488366,521.7836995,3119.600416,1110.178084,55.5089042,83.2633563,627.2506174,51118.14988,321.9516444,732.7175354,383.011439,255.3409593,0,266.4427402,8803.712206,0,9297.741453,0,4024.395554,0,0,0,0,349.7060965,832.633563,0,0,0,0,105.466918,299.7480827,283.0954114,388.5623294,560.6399324,99.91602756,6.99E+15,237039.6736,42703,279742.6736,30.81238445,1,NA,-2.3026,-2.9957,-2.2073,-1.931,-2.0794,-0.5888,-0.755,1.0332,0,-2.9957,-2.5903,-0.5709,3.8296,-1.2379,-0.4155,-1.0642,-1.4697,NA,-1.4271,2.0707,NA,2.1253,NA,1.2879,NA,NA,NA,NA,-1.1552,-0.2877,NA,NA,NA,NA,-2.3539,-1.3093,-1.3665,-1.0498,-0.6832,-2.4079,29.4716,5.3637,3.6497,5.5293,-3.5844,-7.0123,1.299547583,0,0.03,0.02,0.03,0.04,0.04,0.17,0.14,0.86,0.31,0.02,0.02,0.17,14.06,0.09,0.2,0.11,0.07,0,0.07,2.42,0,2.56,0,1.11,0,0,0,0,0.1,0.23,0,0,0,0,0.03,0.08,0.08,0.106883283,0.154217309,0.027484273,1.92E+12,65.2,11.75,100,99.36,76.95
HER14_2A,HER14_2A_5,C:/Data/BAS_sjro/Sept_2015/HER14/HER2A-XRF/XRF data/L000004.spe,320,1.9,1.9,1.9,145.24,234.4,191.57,190.47,6.69,1,0.018364,-0.018,0.007212,0.110437,25677,1.42,0,4,20,0,11,29,140,54,872,98,10,0,124,8330,57,151,0,68,0,100,1981,90,1697,0,993,0,7,0,0,75,71,0,0,0,0,89,115,0,0,120,16,0,42771,7729,50500,5.533833614,0.180706554,65686,1.300712871,0,7.92E-05,0.00039604,0,0.000217822,0.000574257,0.002772277,0.001069307,0.017267327,0.001940594,0.00019802,0,0.002455446,0.164950495,0.001128713,0.002990099,0,0.001346535,0,0.001980198,0.039227723,0.001782178,0.03360396,0,0.019663366,0,0.000138614,0,0,0.001485149,0.001405941,0,0,0,0,0.001762376,0.002277228,0,0,0.002376238,0.000316832,0,0.846950495,0.153049505,1,0.000109581,3.58E-06,363495.3947,0,22.13533445,110.6766723,0,60.87216975,160.4811748,774.7367059,298.8270151,4825.502911,542.3156941,55.33833614,0,686.1953681,46096.834,315.428516,835.6088757,0,376.3006857,0,553.3833614,10962.52439,498.0450252,9390.915642,0,5495.096778,0,38.7368353,0,0,415.037521,392.9021866,0,0,0,0,492.5111916,636.3908656,0,0,664.0600336,88.54133782,0,236687.5975,42771,279458.5975,30.62331446,1,NA,-3.1987,-1.5892,NA,-2.1871,-1.2177,0.3567,-0.596,2.1858,0,-2.2824,NA,0.2353,4.4427,-0.5419,0.4323,NA,-0.3655,NA,0.0202,3.0064,-0.0852,2.8516,NA,2.3158,NA,-2.6391,NA,NA,-0.2675,-0.3223,NA,NA,NA,NA,-0.0963,0.16,NA,NA,0.2025,-1.8124,NA,6.0786,4.3678,6.2448,-2.8741,-6.2958,1.300712871,0,0.01,0.03,0,0.02,0.04,0.21,0.08,1.33,0.15,0.02,0,0.19,12.68,0.09,0.23,0,0.1,0,0.15,3.02,0.14,2.58,0,1.51,0,0.01,0,0,0.11,0.11,0,0,0,0,0.14,0.18,0,0,0.182687331,0.024358311,0,65.11,11.77,100,99.53,76.88
HER14_2A,HER14_2A_6,C:/Data/BAS_sjro/Sept_2015/HER14/HER2A-XRF/XRF data/L000005.spe,321,2,2,2,152.62,240.95,198.77,197.67,6.72,1,0.018358,-0.018,0.007137,0.110437,25548,1.25,33,29,44,46,48,36,124,64,832,107,6,36,147,11142,12,168,105,71,0,27,1836,0,1989,0,927,0,0,0,8,0,33,0,0,14,0,201,19,0,144,87,18,0,41715,7734,49449,5.393716059,0.185400935,67553,1.365447228,0.000667354,0.000586463,0.000889806,0.000930251,0.000970697,0.000728023,0.002507634,0.001294263,0.016825416,0.002163846,0.000121337,0.000728023,0.00297276,0.22532306,0.000242674,0.00339744,0.0021234,0.001435823,0,0.000546017,0.037129163,0,0.04022326,0,0.018746587,0,0,0,0.000161783,0,0.000667354,0,0,0.00028312,0,0.004064794,0.000384234,0,0.002912091,0.001759388,0.000364011,0,0.843596433,0.156403567,1,0.000109076,3.75E-06,364183.7083,177.9926299,156.4177657,237.3235066,248.1109387,258.8983708,194.1737781,668.8207913,345.1978278,4487.571761,577.1276183,32.36229635,194.1737781,792.8762607,60096.78433,64.72459271,906.1442979,566.3401862,382.9538402,0,145.6303336,9902.862684,0,10728.10124,0,4999.974787,0,0,0,43.14972847,0,177.9926299,0,0,75.51202483,0,1084.136928,102.4806051,0,776.6951125,469.2532971,97.08688906,0,224998.8654,41715,266713.8654,29.09217292,1,-1.1763,-1.3055,-0.8886,-0.8442,-0.8016,-1.0893,0.1475,-0.5139,2.051,0,-2.8811,-1.0893,0.3176,4.6456,-2.1879,0.4511,-0.0189,-0.4101,NA,-1.377,2.8425,NA,2.9226,NA,2.1591,NA,NA,NA,-2.5934,NA,-1.1763,NA,NA,-2.0338,NA,0.6305,-1.7284,NA,0.297,-0.2069,-1.7825,NA,5.9658,4.2806,6.1359,-2.9876,-6.3581,1.365447228,0.05,0.04,0.07,0.07,0.07,0.05,0.18,0.09,1.23,0.16,0.01,0.05,0.22,16.5,0.02,0.25,0.16,0.11,0,0.04,2.72,0,2.95,0,1.37,0,0,0,0.01,0,0.05,0,0,0.02,0,0.3,0.03,0,0.213270142,0.128850711,0.026658768,0,61.78,11.45,100,99.63,73.24
HER14_2A,HER14_2A_7,C:/Data/BAS_sjro/Sept_2015/HER14/HER2A-XRF/XRF data/L000006.spe,322,2.1,2.1,2.1,160.16,247.79,206.02,204.86,6.74,1,0.01836,-0.018,0.007128,0.110437,25227,1.51,0,16,18,12,41,23,127,34,596,176,20,4,149,10820,174,111,82,93,0,68,1652,79,1787,0,752,0,0,0,0,62,0,0,0,141,0,89,115,0,77,55,13,1.40E+15,40711,7979,48690,5.102268455,0.195991255,65931,1.354097351,0,0.00032861,0.000369686,0.000246457,0.000842062,0.000472376,0.002608338,0.000698295,0.012240707,0.003614705,0.000410762,8.22E-05,0.003060177,0.222222222,0.003573629,0.002279729,0.001684124,0.001910043,0,0.001396591,0.033928938,0.00162251,0.036701581,0,0.01544465,0,0,0,0,0.001273362,0,0,0,0.002895872,0,0.001827891,0.002361881,0,0.001581434,0.001129595,0.000266995,28753337441,0.836126515,0.163873485,1,0.000104791,4.03E-06,336397.6615,0,81.63629528,91.84083218,61.22722146,209.1930066,117.3521745,647.9880937,173.4771275,3040.951999,897.999248,102.0453691,20.40907382,760.2379997,55206.54468,887.7947111,566.3517985,418.3860133,474.5109663,0,346.9542549,8428.947487,403.0792079,9117.753729,0,3836.905878,0,0,0,0,316.3406442,0,0,0,719.4198521,0,454.1018925,586.7608723,0,392.874671,280.624765,66.32948991,7.14E+15,207718.4511,40711,248429.4511,26.03314338,1,NA,-2.3979,-2.2801,-2.6856,-1.4569,-2.035,-0.3263,-1.6441,1.2198,0,-2.1748,-3.7842,-0.1665,4.1187,-0.0114,-0.461,-0.7638,-0.6379,NA,-0.951,2.2393,-0.801,2.3178,NA,1.4523,NA,NA,NA,NA,-1.0433,NA,NA,NA,-0.2217,NA,-0.6818,-0.4256,NA,-0.8267,-1.1632,-2.6055,29.7048,5.4438,3.8141,5.6227,-3.5408,-6.8002,1.354097351,0,0.02,0.03,0.02,0.06,0.03,0.19,0.05,0.9,0.27,0.03,0.01,0.23,16.41,0.26,0.17,0.12,0.14,0,0.1,2.51,0.12,2.71,0,1.14,0,0,0,0,0.09,0,0,0,0.21,0,0.13,0.17,0,0.116788764,0.083420546,0.019717584,2.12E+12,61.75,12.1,100,99.44,73.85
HER14_2A,HER14_2A_8,C:/Data/BAS_sjro/Sept_2015/HER14/HER2A-XRF/XRF data/L000007.spe,323,2.2,2.2,2.2,167.77,254.9,213.2,212.06,6.75,1,0.018355,-0.018,0.007068,0.110437,25500,1.31,29,24,31,0,39,43,120,40,442,157,12,0,90,9376,52,194,9,59,0,0,1834,25,1595,0,912,0,0,0,4,13,96,0,0,0,0,131,146,29,60,77,24,2.08E+15,42104,8031,50135,5.242684597,0.190741972,65637,1.308626708,0.000578438,0.000478707,0.000618331,0,0.0007779,0.000857684,0.002393537,0.000797846,0.008816196,0.003131545,0.000239354,0,0.001795153,0.187015059,0.0010372,0.003869552,0.000179515,0.001176823,0,0,0.036581231,0.000498654,0.031814102,0,0.018190885,0,0,0,7.98E-05,0.0002593,0.00191483,0,0,0,0,0.002612945,0.002912137,0.000578438,0.001196769,0.001535853,0.000478707,41487982447,0.839812506,0.160187494,1,0.000104571,3.80E-06,343962.0511,152.0378533,125.8244303,162.5232225,0,204.4646993,225.4354377,629.1221517,209.7073839,2317.266592,823.1014818,62.91221517,0,471.8416137,49155.41078,272.6195991,1017.080812,47.18416137,309.3183912,0,0,9615.083551,131.0671149,8362.081933,0,4781.328353,0,0,0,20.97073839,68.15489976,503.2977213,0,0,0,0,686.7916822,765.4319512,152.0378533,314.5610758,403.686714,125.8244303,1.09E+16,220737.9923,42104,262841.9923,27.48574179,1,-1.6889,-1.8782,-1.6223,NA,-1.3927,-1.295,-0.2688,-1.3674,1.0351,0,-2.5713,NA,-0.5564,4.0897,-1.105,0.2116,-2.859,-0.9787,NA,NA,2.458,-1.8374,2.3184,NA,1.7594,NA,NA,NA,-3.67,-2.4913,-0.4919,NA,NA,NA,NA,-0.181,-0.0726,-1.6889,-0.9619,-0.7124,-1.8782,30.2149,5.5917,3.9348,5.7662,-3.3994,-6.7131,1.308626708,0.04,0.04,0.05,0,0.06,0.07,0.18,0.06,0.67,0.24,0.02,0,0.14,14.29,0.08,0.3,0.01,0.09,0,0,2.8,0.04,2.43,0,1.39,0,0,0,0.01,0.02,0.15,0,0,0,0,0.2,0.22,0.04,0.091452262,0.117363736,0.036580905,3.17E+12,64.18,12.24,100,99.55,76.42
HER14_2A,HER14_2A_9,C:/Data/BAS_sjro/Sept_2015/HER14/HER2A-XRF/XRF data/L000008.spe,324,2.3,2.3,2.3,175.31,261.48,220.34,219.26,6.76,1,0.018357,-0.018,0.0071,0.110437,25948,1.44,0,29,19,4,34,34,143,36,413,175,17,0,85,8142,82,136,0,70,0,0,1918,0,1481,0,1196,0,0,0,0,45,0,0,0,0,0,76,0,0,5,31,0,3.19E+14,43091,8342,51433,5.16554783,0.193590309,65568,1.274823557,0,0.00056384,0.000369413,7.78E-05,0.000661054,0.000661054,0.002780316,0.00069994,0.008029864,0.003402485,0.000330527,0,0.001652635,0.158303035,0.001594307,0.002644217,0,0.001360994,0,0,0.037291233,0,0.028794743,0,0.023253553,0,0,0,0,0.000874925,0,0,0,0,0,0.001477651,0,0,9.72E-05,0.000602726,0,6202243696,0.837808411,0.162191589,1,0.000100433,3.76E-06,338694.6401,0,149.8008871,98.14540877,20.66219132,175.6286262,175.6286262,738.6733397,185.9597219,2133.371254,903.9708703,87.81431311,0,439.0715656,42057.89043,423.5749221,702.5145049,0,361.5883481,0,0,9907.520738,0,7650.176337,0,6177.995205,0,0,0,0,232.4496524,0,0,0,0,0,392.5816351,0,0,25.82773915,160.1319827,0,1.65E+15,222588.6216,43091,265679.6216,26.68288439,1,NA,-1.7975,-2.2203,-3.7785,-1.6384,-1.6384,-0.2019,-1.5813,0.8587,0,-2.3316,NA,-0.7221,3.84,-0.7581,-0.2521,NA,-0.9163,NA,NA,2.3943,NA,2.1357,NA,1.922,NA,NA,NA,NA,-1.3581,NA,NA,NA,NA,NA,-0.8341,NA,NA,-3.5553,-1.7308,NA,28.2314,5.5063,3.8643,5.6832,-3.5228,-6.8068,1.274823557,0,0.04,0.03,0.01,0.05,0.05,0.22,0.05,0.63,0.27,0.03,0,0.13,12.42,0.13,0.21,0,0.11,0,0,2.93,0,2.26,0,1.82,0,0,0,0,0.07,0,0,0,0,0,0.12,0,0,0.007625671,0.047279161,0,4.87E+11,65.72,12.72,100,99.64,78.44
HER14_2A,HER14_2A_10,C:/Data/BAS_sjro/Sept_2015/HER14/HER2A-XRF/XRF data/L000009.spe,325,2.4,2.4,2.4,182.85,268.33,227.48,226.45,6.77,1,0.01836,-0.018,0.007128,0.110437,27986,1.26,17,7,9,18,44,32,128,49,505,84,0,0,74,6601,132,152,106,41,0,84,2145,35,1579,0,1138,0,0,0,0,45,67,0,0,0,0,222,174,0,0,13,15,0,46997,8424,55421,5.578941121,0.179245484,68909,1.243066708,0.000306743,0.000126306,0.000162393,0.000324787,0.000793923,0.000577398,0.002309594,0.000884141,0.009112069,0.001515671,0,0,0.001335234,0.119106476,0.002381769,0.002742643,0.001912632,0.000739792,0,0.001515671,0.03870374,0.00063153,0.028491005,0,0.020533733,0,0,0,0,0.000811967,0.001208928,0,0,0,0,0.004005702,0.003139604,0,0,0.000234568,0.000270656,0,0.847999856,0.152000144,1,0.000100665,3.23E-06,384344.4117,94.84199905,39.05258784,50.21047009,100.4209402,245.4734093,178.5261159,714.1044634,273.3681149,2817.365266,468.6310541,0,0,412.8416429,36826.59034,736.4202279,847.9990503,591.3677588,228.7365859,0,468.6310541,11966.8287,195.2629392,8809.148029,0,6348.834995,0,0,0,0,251.0523504,373.7890551,0,0,0,0,1238.524929,970.735755,0,0,72.52623457,83.68411681,0,262193.4958,46997,309190.4958,31.12458403,1,-1.5976,-2.4849,-2.2336,-1.5404,-0.6466,-0.9651,0.4212,-0.539,1.7937,0,NA,NA,-0.1268,4.3642,0.452,0.5931,0.2326,-0.7172,NA,0,3.2401,-0.8755,2.9337,NA,2.6062,NA,NA,NA,NA,-0.6242,-0.2261,NA,NA,NA,NA,0.9719,0.7282,NA,NA,-1.8659,-1.7228,NA,6.327,4.608,6.4919,-2.7118,-6.1498,1.243066708,0.02,0.01,0.01,0.03,0.06,0.05,0.19,0.07,0.73,0.12,0,0,0.11,9.58,0.19,0.22,0.15,0.06,0,0.12,3.11,0.05,2.29,0,1.65,0,0,0,0,0.07,0.1,0,0,0,0,0.32,0.25,0,0,0.018870116,0.02177321,0,68.22,12.23,100,99.64,80.45
