"Site","label","ID","depth","SH20_age","surface","validity","kcps","cps","MSE","S","K","Ca","Ti","Mn","Fe","Ni","Br","Rb","Sr","Mo_inc","Mo_coh","TS_sum","inc_coh","coh_inc","LnK_Ti","LnK_Ca","LnTi_Ca"
"HER24L","HER24L_3A","HER24L_3A_2",5.1,1186.5,6.67,1,30814,68160,1.33,0.397727272727273,0.363636363636364,5.92045454545455,1,0.363636363636364,22.2159090909091,2.36363636363636,38.125,0.170454545454545,12.5,577.215909090909,93.5,59023,6.17343218279047,0.161984447288119,-1.01160091167848,-2.79001413895364,-1.77841322727516
"HER24L","HER24L_3A","HER24L_3A_3",5.2,1206.17,6.69,1,30582,67603,1.3,0.380952380952381,0.214285714285714,5.88095238095238,1,0.380952380952381,21.8571428571429,1.98809523809524,40.5595238095238,1.21428571428571,13.0714285714286,596.011904761905,96.6428571428571,58183,6.16715939886672,0.162149206032158,-1.54044504094715,-3.31216375929176,-1.77171871834461
"HER24L","HER24L_3A","HER24L_3A_4",5.3,1225.85,6.69,1,30510,66920,1.28,0.563218390804598,0.528735632183908,5.40229885057471,1,0.183908045977011,24.5057471264368,1.63218390804598,36.1264367816092,NA,12.4367816091954,571.908045977012,94.6436781609195,57990,6.0427495749332,0.165487579387411,-0.637266722165489,-2.32409129821501,-1.68682457604952
"HER24L","HER24L_3A","HER24L_3A_5",5.4,1245.53,6.7,1,30451,67795,1.24,0.716417910447761,0.343283582089552,7.50746268656716,1,0.552238805970149,29.0149253731343,2.85074626865672,48.1791044776119,1.95522388059702,16.5373134328358,747.462686567164,122.820895522388,58309,6.08579414266618,0.164317092651757,-1.06919840346182,-3.08509595417059,-2.01589755070877
"HER24L","HER24L_3A","HER24L_3A_6",5.5,1265.21,6.72,1,30244,67047,1.48,0.32258064516129,0.282258064516129,4.53225806451613,1,0.354838709677419,19.9193548387097,1.2741935483871,25.4274193548387,0.419354838709677,8.71774193548387,398.75,65.2983870967742,57542,6.10658268494504,0.163757710587521,-1.26493350411562,-2.77615378840428,-1.51122028428865
"HER24L","HER24L_3A","HER24L_3A_7",5.6,1284.89,6.73,1,29280,65103,1.28,0.136054421768707,0.197278911564626,3.10204081632653,1,0.319727891156463,15.1292517006803,1.21768707482993,21.5986394557823,0.625850340136054,8.38775510204082,324.591836734694,53.9659863945578,55648,6.01474851884533,0.166257990149848,-1.62313675679226,-2.75519697952791,-1.13206022273565
"HER24L","HER24L_3A","HER24L_3A_8",5.7,1304.57,6.75,1,29174,64913,1.17,0.75609756097561,0.902439024390244,11.7073170731707,1,0.634146341463415,38.2926829268293,2.36585365853659,76.6829268292683,0.390243902439024,38.0975609756098,1166.51219512195,201.365853658537,56083,5.79299903100775,0.172622159031509,-0.102654154060083,-2.56286819125771,-2.46021403719763
"HER24L","HER24L_3A","HER24L_3A_9",5.8,1324.25,6.76,1,30456,67186,1.39,0.462962962962963,0.592592592592593,8.51851851851852,1,0.296296296296296,34.4074074074074,3.46296296296296,60.4259259259259,1.01851851851852,21.1481481481481,925.648148148148,148.592592592593,58009,6.22943668993021,0.160528158447534,-0.523248143764548,-2.66549058668341,-2.14224244291887
"HER24L","HER24L_3A","HER24L_3A_10",5.9,1343.93,6.77,1,30003,66261,1.41,0.933333333333333,1.97777777777778,13.2888888888889,1,0.977777777777778,36.9777777777778,4.04444444444444,71.3777777777778,2.77777777777778,27.0444444444444,1091.73333333333,178.822222222222,57175,6.10513234745868,0.16379661292949,0.68197387996182,-1.90495438421849,-2.58692826418031
"HER24L","HER24L_3A","HER24L_3A_11",6,1363.6,6.78,1,29760,67240,1.51,0.617647058823529,0.588235294117647,6.52941176470588,1,0.720588235294118,25.6617647058824,2.83823529411765,49.5294117647059,2.58823529411765,20.2205882352941,722.455882352941,118.411764705882,57179,6.10121708892201,0.163901724102836,-0.53062825106217,-2.40694510831829,-1.87631685725612
