"Site","label","ID","depth","SH20_age","surface","validity","kcps","cps","MSE","S","K","Ca","Ti","Mn","Fe","Ni","Br","Rb","Sr","Mo_inc","Mo_coh","inc_coh","coh_inc","LnK_Ti","LnK_Ca","LnTi_Ca","cps_sum_all","cps_sum_filtered"
"HER24L","HER24L_3A","HER24L_3A_2",5.1,1186.5,6.67,1,30814,68160,1.33,0.051349765258216,0.0469483568075117,0.7643779342723,0.129107981220657,0.0469483568075117,2.86825117370892,0.305164319248826,4.92224178403756,0.0220070422535211,1.61384976525822,74.5231807511737,12.0715962441315,6.17343218279047,0.161984447288119,-1.01160091167848,-2.79001413895364,-1.77841322727516,100,97.3650234741784
"HER24L","HER24L_3A","HER24L_3A_3",5.2,1206.17,6.69,1,30582,67603,1.3,0.0473351774329542,0.0266260373060367,0.73073680162123,0.124254840761505,0.0473351774329542,2.71585580521574,0.24703045722823,5.03971717231484,0.150880878067541,1.62418827566824,74.0573643181516,12.0083428250226,6.16715939886672,0.162149206032158,-1.54044504094715,-3.31216375929176,-1.77171871834461,100,96.8196677662234
"HER24L","HER24L_3A","HER24L_3A_4",5.3,1225.85,6.69,1,30510,66920,1.28,0.0732217573221757,0.068738792588165,0.702331141661686,0.130005977286312,0.0239091452480574,3.18589360430365,0.212193664076509,4.69665271966527,0,1.61685594739988,74.3514644351464,12.3042438732815,6.0427495749332,0.165487579387411,-0.637266722165489,-2.32409129821501,-1.68682457604952,100,97.3655110579797
"HER24L","HER24L_3A","HER24L_3A_5",5.4,1245.53,6.7,1,30451,67795,1.24,0.0708016815399366,0.0339258057378863,0.741942621137252,0.0988273471494948,0.0545762961870344,2.86746810236743,0.281731691127664,4.76141308356073,0.193229589202744,1.63433881554687,73.8697544066672,12.1380632790029,6.08579414266618,0.164317092651757,-1.06919840346182,-3.08509595417059,-2.01589755070877,100,96.7460727192271
"HER24L","HER24L_3A","HER24L_3A_6",5.5,1265.21,6.72,1,30244,67047,1.48,0.0596596417438513,0.0522021865258699,0.838217966501111,0.184944889405939,0.0656256059182365,3.68398287768282,0.235655584888213,4.70267126045908,0.0775575342670067,1.61230181812758,73.7467746506182,12.0766029799991,6.10658268494504,0.163757710587521,-1.26493350411562,-2.77615378840428,-1.51122028428865,100,97.336196996137
"HER24L","HER24L_3A","HER24L_3A_7",5.6,1284.89,6.73,1,29280,65103,1.28,0.0307205505122652,0.0445447982427845,0.700428551679646,0.225796046265149,0.0721932937038232,3.41612521696389,0.274948927084773,4.8768873938221,0.14131453235642,1.89392193908115,73.2915533846367,12.18530636069,6.01474851884533,0.166257990149848,-1.62313675679226,-2.75519697952791,-1.13206022273565,100,97.1537409950386
"HER24L","HER24L_3A","HER24L_3A_8",5.7,1304.57,6.75,1,29174,64913,1.17,0.047756227566127,0.0569993683853773,0.73945126554003,0.0631614622648776,0.0400536102167517,2.41862184770385,0.149430776577881,4.8434057892872,0.024648375518001,2.40629765994485,73.6786159937147,12.7185617672885,5.79299903100775,0.172622159031509,-0.102654154060083,-2.56286819125771,-2.46021403719763,100,97.1870041440081
"HER24L","HER24L_3A","HER24L_3A_9",5.8,1324.25,6.76,1,30456,67186,1.39,0.0372101330634358,0.0476289703211979,0.684666448367219,0.0803738874170214,0.0238144851605989,2.76545708927455,0.2783317953145,4.85666656743965,0.0818622927395588,1.69975887833775,74.3979400470336,11.9429643080404,6.22943668993021,0.160528158447534,-0.523248143764548,-2.66549058668341,-2.14224244291887,100,96.8966749025094
"HER24L","HER24L_3A","HER24L_3A_10",5.9,1343.93,6.77,1,30003,66261,1.41,0.0633857019966496,0.134317320897662,0.902491661761821,0.0679132521392674,0.0664040687583948,2.51128114577202,0.274671375318815,4.84749701936282,0.188647922609076,1.83667617452197,74.1431611355096,12.1443986658819,6.10513234745868,0.16379661292949,0.68197387996182,-1.90495438421849,-2.58692826418031,100,97.18084544453
"HER24L","HER24L_3A","HER24L_3A_11",6,1363.6,6.78,1,29760,67240,1.51,0.0624628197501487,0.0594883997620464,0.660321237358715,0.101130279595479,0.0728732897085068,2.59518143961927,0.287031528851874,5.00892325996431,0.261748958953004,2.04491374182034,73.0621653777513,11.9750148720999,6.10121708892201,0.163901724102836,-0.53062825106217,-2.40694510831829,-1.87631685725612,100,96.191255205235
"HER24L","HER24L_3A","HER24L_3A_12",6.1,1383.28,6.79,1,30466,67642,1.57,0.0413943999290382,0.0532213713373348,0.821974512876615,0.124183199787115,0.076875314153928,3.0543153661926,0.283847313799119,5.6459004760356,0,1.63507879719701,73.9673575589131,11.6732207799888,6.33649949341439,0.157815841544581,-0.847297860387204,-2.73724935579447,-1.88995149540727,100,97.3773690902102
"HER24L","HER24L_3A","HER24L_3A_13",6.2,1402.96,6.79,1,30487,67095,1.26,0.0745212012817647,0.0387510246665176,0.71242268425367,0.184812579178776,0.0253372084358,2.26991579104255,0.286161412921976,5.6293315448245,0.0789924733586705,1.85557791191594,73.9071465832029,11.924882629108,6.19772528433946,0.161349520045172,-1.56218502758355,-2.91151419446997,-1.34932916688642,100,96.9878530441911
"HER24L","HER24L_3A","HER24L_3A_14",6.3,1422.64,6.8,1,30896,68150,1.51,0.086573734409391,0.0586940572267058,0.676449009537784,0.0674981658107117,0.0513573000733676,2.03815113719736,0.272927366104182,5.58473954512106,0.0630961115187087,1.74174614820249,74.6749816581071,12.1452677916361,6.14848375015102,0.162641724469946,-0.139761942375159,-2.44451858888271,-2.30475664650755,100,97.461482024945
"HER24L","HER24L_3A","HER24L_3A_15",6.4,1442.32,6.81,1,31111,68879,1.2,0.0754947081113257,0.0348437114359965,0.707036977888761,0.0435546392949956,0.0290364261966637,2.21257567618578,0.333918901261633,5.35431699066479,0,1.67685361285733,74.7499237793812,12.2301427140348,6.1119420702754,0.163614116184668,-0.22314355131421,-3.01021029273464,-2.78706674142043,100,97.4476981373133
"HER24L","HER24L_3A","HER24L_3A_16",6.5,1462,6.82,1,30886,68315,1.2,0.0673351386957476,0.0365951840737759,0.726048452023714,0.0995389006806704,0.0307399546219717,2.52067627900168,0.2122520676279,5.50391568469589,0,1.89709434238454,74.3950816072605,11.7851130791188,6.3126319711837,0.158412529760148,-1.00063188030791,-2.98770010185673,-1.98706822154882,100,97.2743906901852
"HER24L","HER24L_3A","HER24L_3A_17",6.6,1481.68,6.83,1,30448,67262,1.29,0.0594689423448604,0.07879634860694,0.689839731200381,0.15759269721388,0.0490618774345098,2.49323540780827,0.248282834289792,5.49641699622372,0.0297344711724302,1.77812137611133,74.3287443132824,11.9190627694686,6.236123238119,0.16035603560356,-0.693147180559945,-2.16959263867413,-1.47644545811419,100,97.3283577651572
"HER24L","HER24L_3A","HER24L_3A_18",6.7,1501.36,6.84,1,30498,67991,1.4,0.0308864408524658,0.0603020988071951,0.772161021311644,0.111779500227971,0.0205909605683105,2.29883366916209,0.275036401876719,5.94784603844627,0,1.41489314762248,74.2568869409186,11.9251077348473,6.22693635915146,0.160592616067184,-0.617161273582023,-2.54982619588732,-1.93266492230529,100,97.1143239546411
"HER24L","HER24L_3A","HER24L_3A_19",6.8,1521.03,6.84,1,30265,68358,1.37,0.0497381433043682,0.0746072149565523,0.670002048041195,0.131659791099798,0.0307206179232862,2.27478861289096,0.267708241902923,6.01977822639633,0.256005149360719,1.51993914391878,73.9372129085111,11.7235729541531,6.30671325180933,0.158561196628547,-0.567984037605939,-2.19504355138986,-1.62705951378392,100,96.9557330524591
"HER24L","HER24L_3A","HER24L_3A_20",6.9,1540.71,6.85,1,30679,70192,1.37,0.0313426031456576,0.0555618873945749,0.602632778664235,0.245042170047869,0.0755071803054479,2.52735354456348,0.250740825165261,6.11465694096193,0,1.66970594939594,73.3887052655573,11.7976407567814,6.22062552831784,0.160755537437152,-1.48393283068381,-2.38381053291663,-0.899877702232825,100,96.7588899019831
"HER24L","HER24L_3A","HER24L_3A_21",7,1560.39,6.86,1,30588,69344,1.38,0.0562413474850023,0.0620096908167974,0.638844023996308,0.121135209967697,0.0317258883248731,2.63180664513152,0.276880479926165,5.85631056760498,0.268227964928473,1.54447392708814,73.5708929395478,11.82510383018,6.22158536585366,0.160730736813219,-0.669616683149751,-2.33236965435157,-1.66275297120182,100,96.8836525149977
"HER24L","HER24L_3A","HER24L_3A_22",7.1,1580.07,6.86,1,30472,69583,1.4,0.0689823663825935,0.0661081011166521,0.668266674331374,0.0991621516749781,0.0229941221275312,2.11258497046692,0.33054050558326,6.00146587528563,0.18539010965322,1.49318080565655,73.5754422775678,11.6177802049351,6.33300346363187,0.157902961168841,-0.405465108108164,-2.31339600909826,-1.9079309009901,100,96.2418981647816
