"Site","ID","depth","SH20_age","surface","validity","kcps","cps","MSE","S","K","Ca","Ti","Mn","Fe","Ni","Br","Rb","Sr","Zr","Mo_inc","Mo_coh"
"HER24L","HER24L_3A_2",5.1,1186.5,6.67,1,30814,68160,1.33,35,32,521,88,32,1955,208,3355,15,1100,1064,50795,8228
"HER24L","HER24L_3A_3",5.2,1206.17,6.69,1,30582,67603,1.3,32,18,494,84,32,1836,167,3407,102,1098,1299,50065,8118
"HER24L","HER24L_3A_4",5.3,1225.85,6.69,1,30510,66920,1.28,49,46,470,87,16,2132,142,3143,0,1082,1139,49756,8234
"HER24L","HER24L_3A_5",5.4,1245.53,6.7,1,30451,67795,1.24,48,23,503,67,37,1944,191,3228,131,1108,1149,50080,8229
"HER24L","HER24L_3A_6",5.5,1265.21,6.72,1,30244,67047,1.48,40,35,562,124,44,2470,158,3153,52,1081,1172,49445,8097
"HER24L","HER24L_3A_7",5.6,1284.89,6.73,1,29280,65103,1.28,20,29,456,147,47,2224,179,3175,92,1233,1010,47715,7933
"HER24L","HER24L_3A_8",5.7,1304.57,6.75,1,29174,64913,1.17,31,37,480,41,26,1570,97,3144,16,1562,1122,47827,8256
"HER24L","HER24L_3A_9",5.8,1324.25,6.76,1,30456,67186,1.39,25,32,460,54,16,1858,187,3263,55,1142,1301,49985,8024
"HER24L","HER24L_3A_10",5.9,1343.93,6.77,1,30003,66261,1.41,42,89,598,45,44,1664,182,3212,125,1217,1178,49128,8047
"HER24L","HER24L_3A_11",6,1363.6,6.78,1,29760,67240,1.51,42,40,444,68,49,1745,193,3368,176,1375,1172,49127,8052
"HER24L","HER24L_3A_12",6.1,1383.28,6.79,1,30466,67642,1.57,28,36,556,84,52,2066,192,3819,0,1106,965,50033,7896
"HER24L","HER24L_3A_13",6.2,1402.96,6.79,1,30487,67095,1.26,50,26,478,124,17,1523,192,3777,53,1245,1329,49588,8001
"HER24L","HER24L_3A_14",6.3,1422.64,6.8,1,30896,68150,1.51,59,40,461,46,35,1389,186,3806,43,1187,973,50891,8277
"HER24L","HER24L_3A_15",6.4,1442.32,6.81,1,31111,68879,1.2,52,24,487,30,20,1524,230,3688,0,1155,1141,51487,8424
"HER24L","HER24L_3A_16",6.5,1462,6.82,1,30886,68315,1.2,46,25,496,68,21,1722,145,3760,0,1296,1301,50823,8051
"HER24L","HER24L_3A_17",6.6,1481.68,6.83,1,30448,67262,1.29,40,53,464,106,33,1677,167,3697,20,1196,1229,49995,8017
"HER24L","HER24L_3A_18",6.7,1501.36,6.84,1,30498,67991,1.4,21,41,525,76,14,1563,187,4044,0,962,1206,50488,8108
"HER24L","HER24L_3A_19",6.8,1521.03,6.84,1,30265,68358,1.37,34,51,458,90,21,1555,183,4115,175,1039,1145,50542,8014
