Site,Section,ID,filename,position_mm,Section_depth_cm,Field_depth_cm,Strat_depth_cm,SH20_min_age_95CI,SH20_max_age_95CI,SH20_median_age,SH20_mean_age,surface,validity,E_gain,E_offset,F_slope,F_offset,kcps,MSE,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Se,Br,Rb,Sr,Y,Zr,Sn,I,Cs,Ba,Ta,W,Ir,Pt,Au,Hg,Pb,Th,U,D1,S1,S2,S3,Mo_inc,Mo_coh
HER34L,HER34L_1A,HER34L_1A_1,C:/Data/BAS_sjro/Sept_2015/HER34/HER34-1A_XRF/XRF data/L000000.spe,301,1,11,11,90.38,559.39,288.06,297.33,6.38,1,0.018359,-0.017998,0.007274,0.110437,31021.53125,1.27,17,42,10,19,53,58,157,34,488,60,0,24,63,5395,49,146,117,0,0,0,2008,77,1287,0,1201,11,0,0,5,13,0,0,0,0,0,0,0,0,0,23,22,0,48979,8209
HER34L,HER34L_1A,HER34L_1A_2,C:/Data/BAS_sjro/Sept_2015/HER34/HER34-1A_XRF/XRF data/L000001.spe,302,1.1,11.1,11.1,96.53,569.08,294.66,304.31,6.42,1,0.018358,-0.017998,0.007269,0.110437,31227.03125,1.36,0,5,0,10,32,53,136,19,484,93,0,18,65,5427,0,142,110,40,16,78,1864,35,1319,0,1234,0,0,0,0,58,23,0,0,0,0,0,101,0,0,118,0,0,49224,8443
HER34L,HER34L_1A,HER34L_1A_3,C:/Data/BAS_sjro/Sept_2015/HER34/HER34-1A_XRF/XRF data/L000002.spe,303,1.2,11.2,11.2,101.74,581.78,301.46,311.29,6.44,1,0.018358,-0.017998,0.00727,0.110437,31513.1582,1.51,0,13,30,31,62,46,156,54,518,80,21,0,54,5466,51,130,52,0,0,124,2113,53,1308,0,1125,10,0,0,0,0,0,0,0,0,0,134,43,0,0,34,27,1.38E+15,50057,7976
HER34L,HER34L_1A,HER34L_1A_4,C:/Data/BAS_sjro/Sept_2015/HER34/HER34-1A_XRF/XRF data/L000003.spe,304,1.3,11.3,11.3,106.34,596.25,307.35,318.27,6.45,1,0.018358,-0.017998,0.007268,0.110437,32379.19336,1.52,4,0,5,0,45,22,159,117,615,133,0,23,90,6934,31,173,34,35,0,14,2164,327,1547,0,1160,0,10,0,0,0,0,0,0,58,0,142,14,0,175,47,26,0,51687,8678
HER34L,HER34L_1A,HER34L_1A_5,C:/Data/BAS_sjro/Sept_2015/HER34/HER34-1A_XRF/XRF data/L000004.spe,305,1.4,11.4,11.4,110.87,605.27,314.32,325.24,6.46,1,0.018358,-0.017998,0.007268,0.110437,33784.93359,1.22,0,24,10,0,29,57,132,46,546,32,0,9,26,5535,50,175,150,0,0,168,2226,78,1005,0,1128,7,0,0,0,0,30,0,0,0,0,84,110,22,128,7,15,0,54399,8616
HER34L,HER34L_1A,HER34L_1A_6,C:/Data/BAS_sjro/Sept_2015/HER34/HER34-1A_XRF/XRF data/L000005.spe,306,1.5,11.5,11.5,115.08,618.47,320.1,332.22,6.46,1,0.018358,-0.017998,0.007268,0.110437,34402.92969,1.32,6,0,21,19,32,48,117,41,522,50,0,0,46,5232,75,226,86,72,0,79,2511,50,979,0,1325,0,0,0,0,58,0,0,0,0,0,110,0,0,81,52,14,3.40E+15,55965,8642
HER34L,HER34L_1A,HER34L_1A_7,C:/Data/BAS_sjro/Sept_2015/HER34/HER34-1A_XRF/XRF data/L000006.spe,307,1.6,11.6,11.6,118.37,633.97,326.33,339.2,6.47,1,0.018358,-0.017998,0.007268,0.110437,34864.18359,1.27,41,31,28,23,36,45,114,43,559,87,0,0,61,5301,0,171,18,142,0,20,2746,0,763,0,1104,0,0,0,0,37,0,0,0,0,0,27,0,0,231,104,26,0,56814,8552
HER34L,HER34L_1A,HER34L_1A_8,C:/Data/BAS_sjro/Sept_2015/HER34/HER34-1A_XRF/XRF data/L000007.spe,308,1.7,11.7,11.7,121.08,645.46,332.73,346.17,6.48,1,0.018358,-0.017998,0.007268,0.110437,34586.17188,1.64,0,12,0,37,50,58,125,51,566,89,0,0,42,4717,53,209,101,0,0,0,2546,160,763,0,1265,16,4,0,0,21,13,0,0,0,0,0,0,11,43,36,15,0,56382,8712
HER34L,HER34L_1A,HER34L_1A_9,C:/Data/BAS_sjro/Sept_2015/HER34/HER34-1A_XRF/XRF data/L000008.spe,309,1.8,11.8,11.8,124.18,656.95,339.1,353.15,6.47,1,0.018358,-0.017998,0.007268,0.110437,34635.38281,1.51,0,15,17,46,69,36,141,20,476,65,8,0,91,4278,51,231,117,65,0,87,2359,0,805,0,975,6,14,0,0,0,74,0,41,0,0,0,79,0,166,30,14,1.28E+15,57132,8560
HER34L,HER34L_1A,HER34L_1A_10,C:/Data/BAS_sjro/Sept_2015/HER34/HER34-1A_XRF/XRF data/L000009.spe,310,1.9,11.9,11.9,128.76,673.02,345.72,360.13,6.47,1,0.018358,-0.017998,0.007269,0.110437,34763.63281,1.52,0,0,0,18,24,55,102,50,526,80,0,14,69,5720,25,149,24,0,0,111,2561,98,852,0,1020,6,20,0,0,86,42,0,0,0,0,78,126,92,94,58,31,1.08E+15,55864,8671
