"Site","label","ID","depth","SH20_age","surface","validity","kcps","cps","MSE","S","K","Ca","Ti","Mn","Fe","Co","Ni","Cu","Zn","Br","Rb","Sr","Mo_inc","Mo_coh","TS_sum","inc_coh","coh_inc","LnK_Ti","LnK_Ca","LnTi_Ca"
"HER34L","HER34L_1A","HER34L_1A_3",11.2,311.29,6.44,1,31513.1582,69707,1.51,0.775,0.675,6.475,1,0.675,68.325,0.6375,1.625,0.65,NA,26.4125,0.6625,16.35,625.7125,99.7,58033,6.27595285857573,0.159338354276125,-0.393042588109607,-2.26099119569521,-1.8679486075856
"HER34L","HER34L_1A","HER34L_1A_4",11.3,318.27,6.45,1,32379.19336,74221,1.52,0.338345864661654,0.879699248120301,4.62406015037594,1,0.676691729323308,52.1353383458647,0.233082706766917,1.30075187969925,0.255639097744361,0.263157894736842,16.2706766917293,2.45864661654135,11.6315789473684,388.624060150376,65.2481203007519,60365,5.95609587462549,0.167895215431346,-0.128175193423998,-1.65944833300876,-1.53127313958476
"HER34L","HER34L_1A","HER34L_1A_5",11.4,325.24,6.46,1,33784.93359,74694,1.22,0.90625,1.4375,17.0625,1,0.8125,172.96875,1.5625,5.46875,4.6875,NA,69.5625,2.4375,31.40625,1699.96875,269.25,63015,6.31371866295265,0.158385264435008,0.362905493689368,-2.47397757925581,-2.83688307294518
"HER34L","HER34L_1A","HER34L_1A_6",11.5,332.22,6.46,1,34402.92969,76312,1.32,0.64,0.82,10.44,1,0.92,104.64,1.5,4.52,1.72,1.44,50.22,1,19.58,1119.3,172.84,64607,6.47593149733858,0.154417939783793,-0.198450938723838,-2.54409552117833,-2.34564458245449
"HER34L","HER34L_1A","HER34L_1A_7",11.6,339.2,6.47,1,34864.18359,76763,1.27,0.413793103448276,0.494252873563218,6.42528735632184,1,0.701149425287356,60.9310344827586,NA,1.96551724137931,0.206896551724138,1.63218390804598,31.5632183908046,NA,8.77011494252874,653.034482758621,98.2988505747126,65366,6.6433582787652,0.150526278734115,-0.704708002961021,-2.56494935746154,-1.86024135450052
"HER34L","HER34L_1A","HER34L_1A_8",11.7,346.17,6.48,1,34586.17188,76003,1.64,0.561797752808989,0.573033707865168,6.35955056179775,1,0.471910112359551,53,0.595505617977528,2.34831460674157,1.13483146067416,NA,28.6067415730337,1.79775280898876,8.57303370786517,633.505617977528,97.8876404494382,65094,6.47176308539945,0.154517399169948,-0.556810737007814,-2.40676844547886,-1.84995770847104
"HER34L","HER34L_1A","HER34L_1A_9",11.8,353.15,6.47,1,34635.38281,75858,1.51,1.06153846153846,0.307692307692308,7.32307692307692,1,1.4,65.8153846153846,0.784615384615385,3.55384615384615,1.8,1,36.2923076923077,NA,12.3846153846154,878.953846153846,131.692307692308,65692,6.67429906542056,0.149828467408808,-1.17865499634165,-3.16968558067743,-1.99103058433578
"HER34L","HER34L_1A","HER34L_1A_10",11.9,360.13,6.47,1,34763.63281,76483,1.52,0.3,0.625,6.575,1,0.8625,71.5,0.3125,1.8625,0.3,NA,32.0125,1.225,10.65,698.3,108.3875,64535,6.44262484142544,0.155216239438637,-0.470003629245736,-2.35327820730956,-1.88327457806383
"HER34L","HER34L_1A","HER34L_1A_11",12,367.1,6.47,1,34818.89453,76761,1.53,0.728571428571429,0.657142857142857,6.97142857142857,1,0.671428571428571,73.7285714285714,1.34285714285714,2.57142857142857,1.38571428571429,2.2,36.5,0.785714285714286,7.64285714285714,808.785714285714,126.414285714286,65464,6.39789806757826,0.156301333568842,-0.419853845560264,-2.36167400936405,-1.94182016380379
"HER34L","HER34L_1A","HER34L_1A_12",12.1,374.08,6.48,1,35053.09766,77325,1.35,1.06976744186047,1.04651162790698,11,1,0.372093023255814,105.976744186047,0.976744186046512,5.3953488372093,2.51162790697674,1.44186046511628,59.953488372093,NA,17.8604651162791,1346.32558139535,205.302325581395,66720,6.55777072949705,0.152490845021765,0.0454623740767574,-2.35243289872161,-2.39789527279837
