"Site","label","ID","depth","SH20_age","surface","validity","kcps","cps","MSE","K","Ca","Ti","Mn","Fe","Zn","Br","Rb","Sr","Mo_inc","Mo_coh","inc_coh","coh_inc","LnK_Ti","LnK_Ca","LnTi_Ca"
"HER34L","HER34L_1A","HER34L_1A_3",11.2,311.29,6.44,1,31513.1582,69707,1.51,-1.98313044914425,0.261440248789172,-1.59601447970428,-1.98313044914425,2.61602166451828,-5.99046363437672,1.66587353205347,-2.00147958781244,1.18655513153318,4.83047397775341,2.99385404553441,6.27595285857573,0.159338354276125,-0.393042588109607,-2.26099119569521,-1.8679486075856
"HER34L","HER34L_1A","HER34L_1A_4",11.3,318.27,6.45,1,32379.19336,74221,1.52,-1.93568237440021,-0.283120035332356,-1.80852719891496,-2.19550749234903,2.13796933388306,-3.12284806040977,0.973808641570714,-0.913353390481732,0.638352055283796,4.14661392637213,2.36229459477837,5.95609587462549,0.167895215431346,-0.128175193423998,-1.65944833300876,-1.53127313958476
"HER34L","HER34L_1A","HER34L_1A_5",11.4,325.24,6.46,1,33784.93359,74694,1.22,-2.01559566259614,0.438705538115779,-2.36923570283972,-2.56990639830187,2.7532842329913,-5.8657432643062,1.84266740295117,-1.49629541183918,1.04799408635348,5.03837616853783,3.19574901093356,6.31371866295265,0.158385264435008,0.362905493689368,-2.47397757925581,-2.83688307294518
"HER34L","HER34L_1A","HER34L_1A_6",11.5,332.22,6.46,1,34402.92969,76312,1.32,-2.56029776012638,-0.0383859143448246,-2.36614174568542,-2.44781977669969,2.26477262796246,-2.00750793726136,1.53086714917834,-2.36614174568542,0.58958519325487,4.63453226406454,2.76653764534289,6.47593149733858,0.154417939783793,-0.198450938723838,-2.54409552117833,-2.34564458245449
"HER34L","HER34L_1A","HER34L_1A_7",11.6,339.2,6.47,1,34864.18359,76763,1.27,-2.2897837425794,0.25396340723153,-1.59663656201946,-1.94683899145257,2.50186601035131,-1.11112874623776,1.84429130959761,-6.07397337649767,0.564594412668855,4.87358227785444,2.98006400108312,6.6433582787652,0.150526278734115,-0.704708002961021,-2.56494935746154,-1.86024135450052
"HER34L","HER34L_1A","HER34L_1A_8",11.7,346.17,6.48,1,34586.17188,76003,1.64,-2.10211001898886,0.287005566157469,-1.55354406724002,-2.29215362187672,2.40578652239734,-6.05335373757028,1.78931773740917,-0.97194937258582,0.585214051596237,4.88656923604048,3.019217704661,6.47176308539945,0.154517399169948,-0.556810737007814,-2.40676844547886,-1.84995770847104
"HER34L","HER34L_1A","HER34L_1A_9",11.8,353.15,6.47,1,34635.38281,75858,1.51,-2.85922498896332,0.263769064201595,-1.71409268466032,-1.38195884963771,2.45772718973007,-1.71409268466032,1.86266947133291,-5.90374742668675,0.788336315819882,5.04938973546822,3.15122485805574,6.67429906542056,0.149828467408808,-1.17865499634165,-3.16968558067743,-1.99103058433578
"HER34L","HER34L_1A","HER34L_1A_10",11.9,360.13,6.47,1,34763.63281,76483,1.52,-2.13043258736657,0.204942328450469,-1.66780906541845,-1.81376297804153,2.58964067417764,-6.06225822009089,1.78628526236579,-1.4671383699563,0.686501327400786,4.86843512489054,3.00559650358853,6.44262484142544,0.155216239438637,-0.470003629245736,-2.35327820730956,-1.88327457806383
"HER34L","HER34L_1A","HER34L_1A_11",12,367.1,6.47,1,34818.89453,76761,1.53,-2.50956147023475,-0.167346582469938,-2.09702919490349,-2.48850806103692,2.18937030833375,-1.31628395502556,1.48648974355262,-2.33435738120966,-0.0755749108740083,4.58433783781081,2.72846366605717,6.39789806757826,0.156301333568842,-0.419853845560264,-2.36167400936405,-1.94182016380379
"HER34L","HER34L_1A","HER34L_1A_12",12.1,374.08,6.48,1,35053.09766,77325,1.35,-1.96476064012877,0.36780528507721,-2.0092124026996,-2.96018869256165,2.63123717318776,-1.65026731022633,2.06175496926348,-5.79340203661787,0.851688932887778,5.17294972153428,3.29239500028372,6.55777072949705,0.152490845021765,0.0454623740767574,-2.35243289872161,-2.39789527279837
"HER34L","HER34L_1A","HER34L_1A_13",12.2,381.06,6.48,1,35178.38281,78484,1.35,-2.20951487249329,0.118737967249337,-1.57824309565143,-1.87304263587207,2.46462151795953,-1.07811276100219,1.80144808078976,-6.12153787792143,0.697386187354088,4.83413400690239,2.94412348268531,6.62008784096163,0.151055397454476,-0.640779195042629,-2.34650432692888,-1.70572513188625
"HER34L","HER34L_1A","HER34L_1A_14",12.3,388.03,6.49,1,34840.20703,76745,1.41,-2.29295844871559,0.255664015458514,-1.39794511528872,-1.94156056187771,2.56153588215918,-1.88749334060743,1.87533743178664,-5.93054460844198,0.585648467600985,5.01933168125829,3.15298459666782,6.46525885558583,0.154672847961226,-0.910870664404816,-2.57323097829326,-1.66236031388844
"HER34L","HER34L_1A","HER34L_1A_15",12.4,395.01,6.5,1,34982.08984,80352,1.42,-2.01461239977304,0.302342633503955,-1.22735192764262,-1.17486174502122,2.80725958126557,-1.37553244048337,1.39618784922245,-6.34534574005937,0.3380152057069,4.58124001266765,2.71265897061311,6.47973445143256,0.15432731194392,-0.794499674820233,-2.32890240131142,-1.53440272649119
"HER34L","HER34L_1A","HER34L_1A_16",12.5,401.99,6.49,1,34657.51563,75353,1.39,-1.92138663182798,0.236835787704968,-1.88912576960976,-3.14188873810513,2.33178151592077,-4.42282258356719,1.75926232314944,-1.6755516693117,0.767909572300906,4.90576293949581,3.04922325384988,6.40216154721274,0.156197245668592,-0.0327898228229908,-2.17285598631926,-2.14006616349627
"HER34L","HER34L_1A","HER34L_1A_17",12.6,408.96,6.49,1,34306.19531,76598,1.6,-4.18285122862182,-0.00271130623673788,-2.13515838525657,-2.54872070359735,2.25988796262562,-2.0281862657044,1.54399651896537,-0.93441660151208,0.517629137170591,4.684311978858,2.82621889330939,6.41211025756891,0.155954897815363,-2.164963715118,-4.31175743882733,-2.14679372370933
"HER34L","HER34L_1A","HER34L_1A_18",12.7,415.94,6.48,1,35192.12891,78452,1.35,-2.27719249438596,0.0909386765059613,-2.08683876589474,-2.55417927772099,2.37646058890788,-1.60853633383431,1.41329856362232,-2.71544742531711,0.132364718160258,4.54449524357814,2.68463650637854,6.42344173441734,0.155679780613859,-0.193191229030858,-2.38287997567837,-2.18968874664752
"HER34L","HER34L_1A","HER34L_1A_19",12.8,422.92,6.46,1,35833.94141,77461,1.54,-2.86377626887302,0.105810724576652,-1.60641559112902,-2.23732046281174,2.00425433639304,-1.76516398020491,1.58944511245577,-2.96555896318296,0.295281060784274,4.67127928709064,2.77216474490127,6.68063068247209,0.149686466372657,-1.28093384546206,-3.00071981506503,-1.71978596960297
"HER34L","HER34L_1A","HER34L_1A_20",12.9,429.89,6.47,1,35426.53516,76716,1.71,-2.34432176440736,0.341823601306804,-1.40822840523702,-2.53669365705481,2.19817482705268,-4.24144174929324,1.8532560524564,-2.36963957239165,0.540478948439353,4.93690903514183,3.02968268398702,6.73504867872045,0.148477026329375,-0.951558870711613,-2.70975814344737,-1.75819927273575
"HER34L","HER34L_1A","HER34L_1A_21",13,436.87,6.49,1,35428.93359,76865,1.4,-2.76582529277974,0.031837067012153,-1.96888131853816,-2.97346465755799,2.11199263942565,-2.2425771490152,1.71717725923414,-1.70977261853043,0.225208459992693,4.7272309253576,2.84707468539928,6.55516257843697,0.152551517683097,-0.814508037564213,-2.8275044798359,-2.01299644227168
"HER34L","HER34L_1A","HER34L_1A_22",13.1,443.85,6.49,1,35109.97266,75307,1.51,-2.35274181147442,0.180458847672533,-1.38766091543084,-5.81847771427415,2.24206233226449,-1.7754264464396,2.06232663040075,-2.08080809599078,0.52891149538186,5.14588564509369,3.25547003279648,6.62276478679505,0.150994340308427,-0.984853403311452,-2.56246488413387,-1.57761148082242
"HER34L","HER34L_1A","HER34L_1A_23",13.2,450.82,6.49,1,35046.6875,76316,1.49,-2.47260617236999,0.184800295913465,-1.85642003294617,-1.72539177053977,2.2952495958952,-1.7981511248222,2.14288098058903,-5.76844303837432,0.496858174363391,5.20678222815738,3.29444086413399,6.76958738989337,0.147719490480756,-0.633723760089145,-2.69254601456624,-2.0588222544771
"HER34L","HER34L_1A","HER34L_1A_24",13.3,457.8,6.49,1,35190.49609,75824,1.21,-2.75611291634346,-0.235731878361796,-2.22548466528129,-3.21287131883917,1.88249204573087,-1.85324520480144,1.71132659617856,-0.98682630296746,-0.0217454069238729,4.8171442423783,2.88105480923076,6.93229599714931,0.144252351661155,-0.544727175441672,-2.55159802428667,-2.006870848845
"HER34L","HER34L_1A","HER34L_1A_25",13.4,464.78,6.5,1,35579.06641,76162,1.4,-1.92379949806738,0.287725629411033,-1.80190968045835,-2.3864230200155,2.20303615657967,-1.00012865889561,1.95700035789849,-5.91278354463166,0.358204887226643,5.05413806822297,3.16493930272969,6.61470823341327,0.151178247734139,-0.124052648669979,-2.22818680294019,-2.10413415427021
"HER34L","HER34L_1A","HER34L_1A_26",13.5,471.75,6.5,1,35760.71875,77020,1.56,-1.49587693290569,0.705308045646629,-1.58940299091651,-1.53224457707656,2.621125653209,-5.52122862364084,2.45399221501257,-5.52122862364084,0.85719756001075,5.451579712928,3.57077856137348,6.55938309129798,0.152453361250794,0.0953101798043249,-2.21722524404289,-2.31253542384721
"HER34L","HER34L_1A","HER34L_1A_27",13.6,478.73,6.51,1,35628.19922,76905,1.41,-1.8168970579375,0.483900724482454,-1.9302257432445,-3.06966002643286,2.20462076228693,-1.27790055720481,2.11632815514125,-5.84224874867265,0.753531765288667,5.13840611732009,3.24014460897292,6.67492611957263,0.149814392262371,0.115512887121844,-2.31702577714884,-2.43253866427068
"HER34L","HER34L_1A","HER34L_1A_28",13.7,485.71,6.51,1,35530.15625,75775,1.27,-2.51126941881137,0.0207551539536971,-2.23683257310961,-2.51126941881137,1.83730928179497,-1.63799607202091,1.81564778501379,-2.85301871253343,0.343384256482712,4.81521350789847,2.91807621014307,6.66743622301743,0.149982686980609,-0.280902385466402,-2.55659857824412,-2.27569619277771
"HER34L","HER34L_1A","HER34L_1A_29",13.8,492.68,6.52,1,35146.19141,76931,1.42,-2.99333490132204,0.0382841315654785,-2.26244739277924,-3.4182180952873,1.95241993284036,-2.03192373416741,1.72893432576773,-1.02032282248893,0.480779267123687,4.70929069740674,2.81653859134094,6.6382610701107,0.150641860788299,-0.751416088683921,-3.06898273529358,-2.31756664660966
"HER34L","HER34L_1A","HER34L_1A_30",13.9,499.66,6.52,1,34862.10938,74452,1.32,-2.75968068393558,0.829378434896145,-1.46039769980532,-5.46773088503779,2.71622483226716,-0.785599657913571,2.42621425319817,-5.46773088503779,0.939149101031524,5.47389328159015,3.5562799087469,6.8053982407519,0.146942172173236,-1.34992671694902,-3.65620867182439,-2.30628195487537
"HER34L","HER34L_1A","HER34L_1A_31",14,506.64,6.5,1,34153.01563,74364,1.29,-2.28564992041542,0.0883251686652971,-1.90721348469518,-2.61415398738746,1.80200565365588,-2.26584729311924,1.6628978596951,-2.61415398738746,0.554597450298175,4.73743204653639,2.84176049415391,6.65768865685809,0.150202277628273,-0.384845820905429,-2.39231386296018,-2.00746804205475
"HER34L","HER34L_1A","HER34L_1A_32",14.1,513.61,6.48,1,34841.37891,75805,1.29,-3.08592969310534,-0.197782630231289,-1.65084516781602,-2.74945745648413,1.75035221384614,-1.46061843151495,1.61962866691402,-1.63197668351164,-0.0281620286318984,4.65119802733772,2.7835931831974,6.47339283696757,0.154478497626361,-1.46633706879343,-2.92673940206704,-1.46040233327361
"HER34L","HER34L_1A","HER34L_1A_33",14.2,520.59,6.48,1,34732.92188,75019,1.34,-2.07572047283572,0.33245238272089,-1.5161046849003,-2.68185627640604,2.34749172662237,-1.36010043642372,2.07924871120281,-5.85991010675398,0.444538695667999,5.0815546959129,3.20840576519278,6.50939481268012,0.153624112344826,-0.569533224592769,-2.42911529015958,-1.85958206556682
"HER34L","HER34L_1A","HER34L_1A_34",14.3,527.57,6.48,1,34561.68359,75347,1.33,-3.17871118605243,-0.0367164055201835,-2.03130873321488,-2.41324334391286,1.94227216521269,-0.813151293896992,1.8038675102613,-3.12992102188299,0.202283488292209,4.77515182761567,2.87947699309846,6.65770085370132,0.15020200245916,-1.18269540587865,-3.1911259119153,-2.00843050603665
"HER34L","HER34L_1A","HER34L_1A_35",14.4,534.54,6.48,1,34713.96094,75507,1.44,-3.10258306378696,0.00562719319371775,-2.10405423367584,-3.05606304815207,2.04960690570268,-2.23508249608224,1.85592316487435,-1.59322860990985,0.480935874669147,4.80268298339744,2.89623532976963,6.72981917031084,0.148592402662405,-1.02961941718116,-3.15487049489229,-2.12525107771113
