"Site","label","ID","depth","SH20_age","surface","validity","kcps","cps","MSE","S","Cl","K","Ca","Ti","Mn","Fe","Co","Ni","Zn","Br","Rb","Sr","Mo_inc","Mo_coh","TS_sum","inc_coh","coh_inc","LnK_Ti","LnK_Ca","LnTi_Ca"
"HER42L","HER42L_1A","HER42L_1A_10",1.4,308.11,7.12,1,18840,62810,1.55,0.211822660098522,0.901477832512315,2.94581280788177,9.76354679802956,1,2.46305418719212,103.290640394089,NA,0.684729064039409,0.980295566502463,4.3448275862069,1.17241379310345,13.448275862069,127.931034482759,34.0492610837438,32882,3.7572337962963,0.266153253754332,1.08038477490884,-1.1982709609393,-2.27865573584815
"HER42L","HER42L_1A","HER42L_1A_12",1.6,345.68,7.16,1,21081,63932,1.4,0.169354838709677,0.689516129032258,1.28629032258065,8.77016129032258,1,1.00403225806452,59.8790322580645,0.713709677419355,0.596774193548387,0.342741935483871,4.12096774193548,1.24193548387097,12.1854838709677,127.887096774194,31.1814516129032,39449,4.10138368033105,0.243820153865557,0.251762356619862,-1.91959284073794,-2.1713551973578
"HER42L","HER42L_1A","HER42L_1A_13",1.7,364.47,7.18,1,22462,69250,1.41,0.104790419161677,0.616766467065868,1.88922155688623,5.87724550898204,1,0.901197604790419,55.4071856287425,0.0778443113772455,0.502994011976048,0.275449101796407,3.41317365269461,1.12275449101796,8.18263473053892,99.6586826347305,23.7544910179641,41220,4.19536173430804,0.238358469026017,0.636164869564513,-1.13492333173525,-1.77108820129976
"HER42L","HER42L_1A","HER42L_1A_14",1.8,383.26,7.18,1,21919,69905,1.63,0.256302521008403,0.785714285714286,2.10084033613445,9.0672268907563,1,1.20168067226891,78.7436974789916,0.0252100840336134,0.273109243697479,0.865546218487395,5.55042016806723,2.38655462184874,12.9747899159664,136.529411764706,33.8403361344538,40548,4.03451701018128,0.247861143595741,0.742337424750717,-1.46232904739589,-2.20466647214661
"HER42L","HER42L_1A","HER42L_1A_15",1.9,402.05,7.19,1,22837,77281,1.53,0.0758807588075881,0.525745257452574,2.04607046070461,6.50406504065041,1,1.37127371273713,73.7588075880759,0.463414634146341,0.319783197831978,0.596205962059621,3.35772357723577,0.929539295392954,7.77506775067751,86.8726287262873,19.89972899729,39399,4.36551818058014,0.229067881207886,0.715921105208498,-1.15650626708701,-1.87242737229551
"HER42L","HER42L_1A","HER42L_1A_16",2,420.84,7.19,1,21316,69758,1.46,0.155015197568389,0.389057750759878,1.27659574468085,6.61094224924012,1,1.05471124620061,65.2705167173252,NA,0.322188449848024,0.638297872340426,3.83282674772036,0.790273556231003,8.14589665653495,95.7142857142857,21.7325227963526,38640,4.4041958041958,0.227056208320102,0.244196960512042,-1.64452923224537,-1.88872619275741
"HER42L","HER42L_1A","HER42L_1A_17",2.1,439.62,7.19,1,21775,73771,1.39,0.0971128608923885,0.383202099737533,1.0761154855643,6.12073490813648,1,1.20734908136483,66.5879265091863,0.246719160104987,0.433070866141732,0.312335958005249,3.56430446194226,0.62992125984252,6.88188976377953,82.4251968503937,18.8031496062992,38568,4.38358458961474,0.228123805884601,0.0733577845716525,-1.73832438777203,-1.81168217234368
"HER42L","HER42L_1A","HER42L_1A_18",2.2,458.41,7.2,1,21647,72572,1.47,0.0798722044728434,0.196485623003195,0.701277955271565,3.47444089456869,1,0.699680511182109,38.7172523961661,0.167731629392971,0.175718849840256,0.31629392971246,2.03035143769968,0.466453674121406,4.46645367412141,49.1102236421725,11.8067092651757,38134,4.15951833310783,0.240412451615002,-0.354850958024927,-1.60028453044761,-1.24543357242269
"HER42L","HER42L_1A","HER42L_1A_19",2.3,477.2,7.21,1,21457,71370,1.37,0.0846325167037862,0.307349665924276,0.926503340757238,4.82405345211581,1,0.959910913140312,50.6057906458797,0.207126948775056,0.249443207126949,0.273942093541203,3.37639198218263,0.418708240534521,6.543429844098,68.7906458797327,16.7349665924276,38401,4.11059355869044,0.243273869265387,-0.076337627480991,-1.64995216729967,-1.57361453981868
"HER42L","HER42L_1A","HER42L_1A_20",2.4,495.99,7.22,1,22528,77090,1.37,0.129120879120879,0.486263736263736,1.32692307692308,6.38186813186813,1,1.3543956043956,75.1456043956044,0.348901098901099,0.222527472527473,0.239010989010989,4.23626373626374,1.05769230769231,6.99175824175824,87.4972527472527,20.3406593406593,39253,4.30159373311723,0.232471977142139,0.282862786015832,-1.57059807911784,-1.85346086513367
"HER42L","HER42L_1A","HER42L_1A_21",2.5,514.78,7.23,1,21800,70712,1.41,0.0627705627705628,0.222943722943723,0.705627705627706,4.08874458874459,1,0.876623376623377,48.8982683982684,0.112554112554113,0.147186147186147,0.495670995670996,3.31818181818182,0.476190476190476,5.00649350649351,68.9502164502164,15.9415584415584,39220,4.32518669382213,0.231203892638518,-0.348667509715031,-1.7569054861348,-1.40823797641977
"HER42L","HER42L_1A","HER42L_1A_22",2.6,533.57,7.23,1,21161,67561,1.4,0.125874125874126,0.356643356643357,0.769230769230769,4.66200466200466,1,0.818181818181818,46.6759906759907,0.398601398601399,0.296037296037296,0.372960372960373,4.18881118881119,0.731934731934732,5.002331002331,70.7156177156177,16.6876456876457,37496,4.23760301718117,0.235982463658239,-0.262364264467491,-1.80180980508156,-1.53944554061407
"HER42L","HER42L_1A","HER42L_1A_24",2.8,571.14,7.26,1,20935,65007,1.35,0.164772727272727,0.463068181818182,1.16477272727273,4.68465909090909,1,0.974431818181818,53.9005681818182,0.264204545454545,0.389204545454545,0.545454545454545,4.20170454545455,0.559659090909091,7.76988636363636,83.8125,20.2073863636364,36615,4.14761703922396,0.241102298149278,0.152525984100256,-1.39176716286125,-1.5442931469615
"HER42L","HER42L_1A","HER42L_1A_25",2.9,589.93,7.29,1,20116,65320,1.4,0.131086142322097,0.704119850187266,1.16104868913858,6.15355805243446,1,1.30337078651685,79.3033707865169,NA,0.539325842696629,0.786516853932584,4.54681647940075,1.49438202247191,11.1985018726592,103.179775280899,25.685393258427,34407,4.01706036745407,0.248938255472068,0.149323639078942,-1.66770682055808,-1.81703045963702
"HER42L","HER42L_1A","HER42L_1A_26",3,608.72,7.32,1,19850,65730,1.54,0.127423822714681,0.382271468144044,1.35180055401662,7.41551246537396,1,1.10803324099723,57.9085872576177,0.21606648199446,0.601108033240997,0.415512465373961,3.01939058171745,0.880886426592798,8.28254847645429,74.0554016620499,19.6786703601108,33838,3.76323198198198,0.265729034188674,0.301437447520266,-1.70213663766721,-2.00357408518747
"HER42L","HER42L_1A","HER42L_1A_29",3.3,665.08,7.31,1,19043,66100,1.64,0.0492610837438424,0.156650246305419,0.591133004926108,3.26699507389163,1,0.400985221674877,22.6266009852217,0.102463054187192,0.0266009852216749,0.356650246305419,0.620689655172414,0.238423645320197,3.64137931034483,23.0886699507389,7.17931034482759,30722,3.21600109784548,0.310945167484532,-0.525714236259741,-1.70958486103904,-1.1838706247793
"HER42L","HER42L_1A","HER42L_1A_30",3.4,683.87,7.31,1,19575,68478,1.48,0.0346820809248555,0.170520231213873,0.929190751445087,5.0635838150289,1,0.910404624277457,36.007225433526,0.151734104046243,0.0722543352601156,0.182080924855491,0.791907514450867,0.664739884393064,5.25433526011561,34.8757225433526,10.3988439306358,31330,3.35380767092829,0.298168558879589,-0.0734412313800502,-1.69551572781866,-1.62207449643861
