"Site","label","ID","depth","SH20_age","surface","validity","kcps","cps","MSE","Cl","K","Ca","Ti","Mn","Fe","Co","Ni","Br","Rb","Sr","Mo_inc","Mo_coh","TS_sum","inc_coh","coh_inc","LnK_Ti","LnK_Ca","LnTi_Ca"
"HER42PB","HER42PB_1A","HER42PB_1A_2",1.1,-51.51,6.66,1,16596,44628,1.45,-0.112795494145344,-0.328504066972036,1.47856963722906,0,0.364643113587909,4.35687975225193,0.436102077570054,0.686458192409149,3.76676599277101,0.373859768692833,1.79175946922805,5.90935025073105,4.17643645094057,32520,5.65711361310133,0.176768590555455,-0.328504066972036,-1.8070737042011,-1.47856963722906
"HER42PB","HER42PB_1A","HER42PB_1A_3",1.2,-50.47,6.68,1,16084,44476,1.35,-0.356674943938732,-0.269663566949103,1.31567679390594,0,-0.0465200156348928,4.19911399413343,-0.829279354884525,0.111703989580001,3.28772323123016,0.49801666547341,1.82161243237774,5.47333962086038,3.74392705589817,30857,5.63734136373414,0.177388583638584,-0.269663566949103,-1.58534036085504,-1.31567679390594
"HER42PB","HER42PB_1A","HER42PB_1A_4",1.3,-49.42,6.7,1,16223,44600,1.42,-0.159630145591884,-0.760969776898706,1.10677559930727,0,-0.076633226020916,4.04935862819438,-1.09044897802895,0.383364761107498,3.23287572795181,-0.0333364202675918,1.57948559015075,5.3797840283916,3.65808218036502,31203,5.59404057480981,0.178761663707453,-0.760969776898706,-1.86774537620598,-1.10677559930727
"HER42PB","HER42PB_1A","HER42PB_1A_5",1.4,-48.38,6.7,1,16870,48427,1.4,-0.0613689463762921,0.510825623765991,1.64682544450572,0,0.579818495252942,4.68113867121147,0.593063722002963,0.756569006997441,3.67479260345658,1.07857153778466,2.07347137469333,5.79225112264381,4.05509210253316,32377,5.6811803549319,0.176019759543787,0.510825623765991,-1.13599982073973,-1.64682544450572
"HER42PB","HER42PB_1A","HER42PB_1A_6",1.5,-47.34,6.71,1,16085,44532,1.13,0.0755075525081451,-0.0502618347808883,1.23296034119919,0,-0.0606246218164349,4.13092226836203,-0.0816780310142672,0.295008112543854,3.43997807846487,0.398907707562005,2.12612865565249,5.57397895214569,3.84449964192055,31642,5.63771764212293,0.177376744186047,-0.0502618347808883,-1.28322217598008,-1.23296034119919
"HER42PB","HER42PB_1A","HER42PB_1A_7",1.6,-46.29,6.73,1,16366,44776,1.31,0.165514438477573,-0.430782916092454,1.30019166206648,0,-0.0725706928348354,4.04585435306167,-0.562118918153541,0.385262400790645,3.49103808566194,NA,2.2554934854602,5.60829894649458,3.85163585541305,31975,5.79307414489059,0.17261992078627,-0.430782916092454,-1.73097457815893,-1.30019166206648
"HER42PB","HER42PB_1A","HER42PB_1A_8",1.7,-45.25,6.76,1,16696,47047,1.33,-0.0645385211375712,-0.421213465076304,1.23474446299269,0,0.432864082296279,4.21720726707857,-0.12169693497752,0.693147180559945,3.63511600614432,0.439598114477623,2.15345650355586,5.67981702817202,3.9987739318368,33353,5.37115568290353,0.186179671384878,-0.421213465076304,-1.65595792806899,-1.23474446299269
"HER42PB","HER42PB_1A","HER42PB_1A_9",1.8,-44.2,6.78,1,16936,47641,1.27,-0.297534368894793,-0.458307589482544,1.1228265467887,0,0.0431721718652088,3.9869394741898,0.104624951078872,0.174941449496332,3.26063855323018,0.334369186424434,1.88973987758826,5.32601836189582,3.58657798030319,32875,5.69415597637956,0.175618652553283,-0.458307589482544,-1.58113413627125,-1.1228265467887
"HER42PB","HER42PB_1A","HER42PB_1A_10",1.9,-43.16,6.81,1,16562,46327,1.18,0.489548225318706,-0.398907707562005,1.90563624991737,0,0.62509371731493,4.48359708235244,-0.32340015505386,0.750671024698132,3.80578491182896,0.54446398291482,2.33749490813107,5.89784044507531,4.1441784588733,32476,5.77571458376799,0.173138749412997,-0.398907707562005,-2.30454395747938,-1.90563624991737
"HER42PB","HER42PB_1A","HER42PB_1A_11",2,-42.11,6.84,1,15674,42856,1.25,-1.4775857813293,-1.93589337081184,-0.128748982744308,0,-0.660140884091775,2.75886239543964,-1.65404221867085,-0.450069414344918,2.34656986588854,-0.493086799428609,0.434133002977736,4.52025545026581,2.75117825944441,32041,5.86543818298693,0.17049024621904,-1.93589337081184,-1.80714438806753,0.128748982744308
"HER42PB","HER42PB_1A","HER42PB_1A_12",2.1,-41.07,6.84,1,16295,44760,1.36,-0.120627987788615,-0.0465200156348928,1.19941698779008,0,1.36620760255315,4.18585967105787,-0.318453731118535,0.334847540894211,3.56696859251243,0.883955351231219,1.91290385258714,5.76069254116219,3.9437859081873,32488,6.15279612505504,0.162527732054677,-0.0465200156348928,-1.24593700342497,-1.19941698779008
"HER42PB","HER42PB_1A","HER42PB_1A_13",2.2,-40.03,6.79,1,16620,46542,1.29,0.994933859193268,0.76968725768228,2.12389330425067,0,1.89939013342042,5.01923457768244,1.09100768928289,0.800777844752311,4.3549590449658,1.2197566720272,2.63254264859407,6.46780459288875,4.72557604166918,33302,5.71005440257909,0.175129679946364,0.76968725768228,-1.35420604656839,-2.12389330425067
"HER42PB","HER42PB_1A","HER42PB_1A_14",2.3,-38.98,6.75,1,17745,52423,1.2,0.392042087776024,0.23638877806423,1.55744261731572,0,1.0248461384285,4.92715706213186,0.0769610411361284,0.572861014685443,3.8994104673773,0.8754687373539,2.23073098922606,5.97783880352617,4.19549623310587,34573,5.94376380799357,0.168243562884368,0.23638877806423,-1.32105383925149,-1.55744261731572
"HER42PB","HER42PB_1A","HER42PB_1A_15",2.4,-37.94,6.76,1,19359,57926,1.2,0.174353387144778,0.108213584640233,1.33750419695046,0,0.49353412665593,4.88345106249881,0.294799540220645,0.451985123743057,3.64731313503382,-0.628608659422374,2.02814824729229,5.68147194329115,3.89279164350026,35955,5.98155339805825,0.167180652491479,0.108213584640233,-1.22929061231023,-1.33750419695046
"HER42PB","HER42PB_1A","HER42PB_1A_16",2.5,-36.89,6.78,1,19163,54196,1.4,-0.777514219296485,-1.32662202963349,0.292524696927569,0,-0.677095471549437,3.35810294013458,-1.97214116120418,-0.742908690119009,2.53230888868258,-0.299619273343506,0.888064374866389,4.62795079742712,2.85951581843948,37005,5.8616725384758,0.17059977223839,-1.32662202963349,-1.61914672656106,-0.292524696927569
"HER42PB","HER42PB_1A","HER42PB_1A_17",2.6,-35.85,6.81,1,19345,53809,1.34,-0.322468188537196,-0.801360765200178,1.05046294477053,0,-0.0325761704346127,3.97716230759911,-0.0459097013040779,0.311436158459888,3.31488506097502,0.26334997179225,1.59912854277524,5.31449982399247,3.54374251536911,37106,5.87530109319993,0.170204043016178,-0.801360765200178,-1.85182370997071,-1.05046294477053
"HER42PB","HER42PB_1A","HER42PB_1A_18",2.7,-34.8,6.84,1,19212,53059,1.31,-0.441832752279039,-1.67764616246063,0.873635556272239,0,-0.213574100298059,3.80274763280071,-0.141411654049829,0.2340726218464,3.17000873466311,-0.860201265223111,1.38766704493186,5.1446153040257,3.37183269977218,36516,5.88721237268955,0.169859678349459,-1.67764616246063,-2.55128171873287,-0.873635556272239
