"Site","label","ID","depth","SH20_age","surface","validity","kcps","cps","MSE","Cl","K","Ca","Ti","Mn","Fe","Co","Ni","Br","Rb","Sr","Mo_inc","Mo_coh","TS_sum","inc_coh","coh_inc","LnK_Ti","LnK_Ca","LnTi_Ca"
"HER42PB","HER42PB_1A","HER42PB_1A_2",1.1,-51.51,6.66,1,16596,44628,1.45,-0.65449372101367,0.677088117303619,0.202163735756175,NA,1.24430691848239,0.955980237124389,0.536875888177063,-0.0511428397025906,0.52005983120737,0.591211685134174,-0.314872133500432,-0.0266882843187913,0.0195563414279141,32520,5.65711361310133,0.176768590555455,-0.328504066972036,-1.8070737042011,-1.47856963722906
"HER42PB","HER42PB_1A","HER42PB_1A_3",1.2,-50.47,6.68,1,16084,44476,1.35,-0.962747766278385,0.784360119773994,-0.0882250982762424,NA,0.459138777860732,0.633396689547671,-0.827434091237543,-0.713174490450356,-0.0232407282185487,0.727220164049548,-0.260689122255793,-0.513431361397647,-0.500532716075471,30857,5.63734136373414,0.177388583638584,-0.269663566949103,-1.58534036085504,-1.31567679390594
"HER42PB","HER42PB_1A","HER42PB_1A_4",1.3,-49.42,6.7,1,16223,44600,1.42,-0.713690880836646,-0.111339287044151,-0.460632952973406,NA,0.401633783549507,0.327191985881952,-1.10902216739945,-0.400261547608905,-0.0854453613047318,0.145145975401414,-0.700148392989992,-0.617872707173314,-0.603760486198599,31203,5.59404057480981,0.178761663707453,-0.760969776898706,-1.86774537620598,-1.10677559930727
"HER42PB","HER42PB_1A","HER42PB_1A_5",1.4,-48.38,6.7,1,16870,48427,1.4,-0.589492584602875,2.2072684628686,0.502113117800733,NA,1.65521159918381,1.61899224720074,0.706108921310596,0.0296144267752946,0.415749323088849,1.36319276933712,0.196433872038814,-0.157412597038741,-0.126359258371687,32377,5.6811803549319,0.176019759543787,0.510825623765991,-1.13599982073973,-1.64682544450572
"HER42PB","HER42PB_1A","HER42PB_1A_6",1.5,-47.34,6.71,1,16085,44532,1.13,-0.416486066347466,1.1843509958879,-0.235683597782958,NA,0.432204243553885,0.493965110242629,-0.021384689357786,-0.502035310402108,0.149437266981415,0.618650612442273,0.292006630830519,-0.401082041383358,-0.379594992930908,31642,5.63771764212293,0.177376744186047,-0.0502618347808883,-1.28322217598008,-1.23296034119919
"HER42PB","HER42PB_1A","HER42PB_1A_7",1.6,-46.29,6.73,1,16366,44776,1.31,-0.302720897837936,0.490623744104269,-0.115830420204221,NA,0.409391705895214,0.320026796695933,-0.539386834822684,-0.398075747964859,0.207346357153723,NA,0.526803290478244,-0.362768710216035,-0.371013753790215,31975,5.79307414489059,0.17261992078627,-0.430782916092454,-1.73097457815893,-1.30019166206648
"HER42PB","HER42PB_1A","HER42PB_1A_8",1.7,-45.25,6.76,1,16696,47047,1.33,-0.593498802604273,0.508069791854451,-0.232503046465802,NA,1.37458351029015,0.670391993493986,-0.0645323036991716,-0.0434381168045128,0.370750589684485,0.663225182961875,0.341606567788726,-0.282929071552235,-0.194081404187528,33353,5.37115568290353,0.186179671384878,-0.421213465076304,-1.65595792806899,-1.23474446299269
"HER42PB","HER42PB_1A","HER42PB_1A_9",1.8,-44.2,6.78,1,16936,47641,1.27,-0.887996402389298,0.440443564963249,-0.432018952326348,NA,0.630417385018094,0.199563580481005,0.179483611018112,-0.640334309775854,-0.0539584884909935,0.547951470316629,-0.137038075912352,-0.677894330864259,-0.689743709786248,32875,5.69415597637956,0.175618652553283,-0.458307589482544,-1.58113413627125,-1.1228265467887
"HER42PB","HER42PB_1A","HER42PB_1A_10",1.9,-43.16,6.81,1,16562,46327,1.18,0.106845081094872,0.548735375495731,0.963494762845735,NA,1.74167037769792,1.21507908322871,-0.282004845157606,0.0228208253740819,0.564312666766754,0.778101179592892,0.675635551596684,-0.0395373247724969,-0.0192336337345317,32476,5.77571458376799,0.173138749412997,-0.398907707562005,-2.30454395747938,-1.90563624991737
"HER42PB","HER42PB_1A","HER42PB_1A_11",2,-42.11,6.84,1,15674,42856,1.25,-2.37953503679022,-2.25334023230513,-2.66320082201505,NA,-0.712648092337598,-2.31148485921487,-1.71667758482314,-1.36025418489351,-1.09063844497141,-0.358490563299827,-2.77895885474258,-1.57741258141504,-1.69430513305299,32041,5.86543818298693,0.17049024621904,-1.93589337081184,-1.80714438806753,0.128748982744308
