"Site","label","ID","depth","SH20_age","surface","validity","kcps","cps","MSE","Cl","K","Ca","Ti","Mn","Fe","Co","Ni","Br","Rb","Sr","Mo_inc","Mo_coh","TS_sum","inc_coh","coh_inc","LnK_Ti","LnK_Ca","LnTi_Ca"
"HER42PB","HER42PB_1A","HER42PB_1A_2",1.1,-51.51,6.66,1,16596,44628,1.45,-1.71692774040969,0.106120531519934,0.0514916610096526,-0.310330224990175,0.508890747205336,0.148285060403975,0.553325548264578,-0.19789537331409,3.14258298556258,0.141538256883481,-0.450523200958659,NA,0.446109412780381,32520,5.65711361310133,0.176768590555455,-0.328504066972036,-1.8070737042011,-1.47856963722906
"HER42PB","HER42PB_1A","HER42PB_1A_3",1.2,-50.47,6.68,1,16084,44476,1.35,-1.18275430599044,0.925275269237709,0.645408968895634,0.0899293752382675,0.552429120413735,0.540080834834839,-0.6651413764046,-0.857099600210161,2.78784069677241,1.29107513958549,0.36342400351531,NA,0.488685006439495,30857,5.63734136373414,0.177388583638584,-0.269663566949103,-1.58534036085504,-1.31567679390594
"HER42PB","HER42PB_1A","HER42PB_1A_4",1.3,-49.42,6.7,1,16223,44600,1.42,-0.15221692487785,0.236584580794214,0.374683828483642,0.201008388738696,0.668628158214897,0.451927100634104,-0.810692159183465,1.0954315323237,3.10624321003686,0.340798693120275,0.0616717198264921,NA,0.582975895587208,31203,5.59404057480981,0.178761663707453,-0.760969776898706,-1.86774537620598,-1.10677559930727
"HER42PB","HER42PB_1A","HER42PB_1A_5",1.4,-48.38,6.7,1,16870,48427,1.4,-1.25404533824028,2.15624786797369,0.676005628337663,-0.219347057014047,1.19095973315676,0.825867910140857,1.23488024089648,0.849719527794029,3.35688050935313,2.09264864145956,0.221676732985419,NA,0.394686379621303,32377,5.6811803549319,0.176019759543787,0.510825623765991,-1.13599982073973,-1.64682544450572
"HER42PB","HER42PB_1A","HER42PB_1A_6",1.5,-47.34,6.71,1,16085,44532,1.13,0.0185649458043087,1.18991060504728,0.229094598730635,-0.0185097486232859,0.360108644849808,0.289493315290404,0.192894526014994,-0.475396488635331,3.21518599984027,0.80577495849862,0.857699947461098,NA,0.487871978465338,31642,5.63771764212293,0.177376744186047,-0.0502618347808883,-1.28322217598008,-1.23296034119919
"HER42PB","HER42PB_1A","HER42PB_1A_7",1.6,-46.29,6.73,1,16366,44776,1.31,0.262360690373422,0.387470872286385,0.298311951266053,-0.053063680464202,0.288593837198285,0.136164523406256,-0.531834897415232,-0.198630538885115,3.35858777448687,NA,1.12490925307097,NA,0.161215785536399,31975,5.79307414489059,0.17261992078627,-0.430782916092454,-1.73097457815893,-1.30019166206648
"HER42PB","HER42PB_1A","HER42PB_1A_8",1.7,-45.25,6.76,1,16696,47047,1.33,-0.90945163649447,0.293717136550808,0.0246560166320662,-0.12136906073307,1.10909664940725,0.263111397353048,-0.051563631783313,1.15795456582915,4.00868222930045,0.667335505074088,0.65534661098635,NA,1.09237848285559,33353,5.37115568290353,0.186179671384878,-0.421213465076304,-1.65595792806899,-1.23474446299269
"HER42PB","HER42PB_1A","HER42PB_1A_9",1.8,-44.2,6.78,1,16936,47641,1.27,-0.481975618734195,0.840323608971029,0.534804465006599,0.269707581670365,1.02692203818792,0.438788206409897,1.17244000135139,0.1809748231988,3.81858162305031,1.24767154604741,0.88889153384702,NA,0.367141930003637,32875,5.69415597637956,0.175618652553283,-0.458307589482544,-1.58113413627125,-1.1228265467887
"HER42PB","HER42PB_1A","HER42PB_1A_10",1.9,-43.16,6.81,1,16562,46327,1.18,0.420319090364925,0.0329463984165451,1.09255295566767,-0.301852072009891,1.04974650706751,0.329321939122919,-0.585177696965308,0.202380177055893,3.5790863689316,0.447306000015886,0.57256137369687,NA,0.196844306872153,32476,5.77571458376799,0.173138749412997,-0.398907707562005,-2.30454395747938,-1.90563624991737
"HER42PB","HER42PB_1A","HER42PB_1A_11",2,-42.11,6.84,1,15674,42856,1.25,-1.65488782846532,-0.144788521988476,-0.31927195027786,1.89500014309633,1.26950231202691,-0.0819759181303563,-0.536003347908971,1.26415228535143,2.88466967759205,1.19108553881795,-0.406672027969261,NA,0.0149687362258344,32041,5.86543818298693,0.17049024621904,-1.93589337081184,-1.80714438806753,0.128748982744308
"HER42PB","HER42PB_1A","HER42PB_1A_12",2.1,-41.07,6.84,1,16295,44760,1.36,-1.33558547861525,0.794761943951039,-0.179866812970942,-0.192948791146936,4.24495396016602,0.121277622112466,-0.428959202311079,-1.13256126121107,2.72269690090259,1.5687765662741,-0.0257033400536779,NA,-0.531825698731659,32488,6.15279612505504,0.162527732054677,-0.0465200156348928,-1.24593700342497,-1.19941698779008
"HER42PB","HER42PB_1A","HER42PB_1A_13",2.2,-40.03,6.79,1,16620,46542,1.29,0.128959337796167,1.02161768078765,0.223119082178753,-0.623717454100689,3.37224352600217,0.282002179466205,0.772204700920861,-2.02272488650548,3.39681293594943,0.651297685956776,-0.00305736422785422,NA,0.33356365374679,33302,5.71005440257909,0.175129679946364,0.76968725768228,-1.35420604656839,-2.12389330425067
"HER42PB","HER42PB_1A","HER42PB_1A_14",2.3,-38.98,6.75,1,17745,52423,1.2,-0.337427247007233,0.928537231255428,0.0712322315996785,-0.358810190804135,1.90558537563767,0.944155154464048,-0.198811913111654,-1.04497241144458,3.70063337234647,0.97129659891355,0.164589656621528,NA,-0.139313431334792,34573,5.94376380799357,0.168243562884368,0.23638877806423,-1.32105383925149,-1.55744261731572
"HER42PB","HER42PB_1A","HER42PB_1A_15",2.4,-37.94,6.76,1,19359,57926,1.2,-0.0180890851301881,1.31351697055988,0.223002627199812,-0.122892527424222,1.25078596659117,1.52397575670024,0.748811554083445,-0.231342163149418,4.10712052713199,-0.683697422213224,0.359937399676199,NA,-0.212304634325904,35955,5.98155339805825,0.167180652491479,0.108213584640233,-1.22929061231023,-1.33750419695046
"HER42PB","HER42PB_1A","HER42PB_1A_16",2.5,-36.89,6.78,1,19163,54196,1.4,0.433509556943693,0.525103904879041,0.240696393031399,1.59506400460514,0.977553500390687,0.547157953450576,-0.907827546173425,-0.897766603972693,3.54737226315721,1.42217151764214,0.178989074718179,NA,0.0224900060945834,37005,5.8616725384758,0.17059977223839,-1.32662202963349,-1.61914672656106,-0.292524696927569
