"rowname","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se","Q0.25","Q0.75"
"kcps",1,3990,19610.3746867168,1745.74489591845,19791,19686.7794486216,1828.7871,13918,23383,9465,-0.373275751596813,-0.458768817292004,27.6372185653948,18426.5,20939.5
"cps",2,3990,51113.301754386,3246.47412037446,51257.5,51118.1102756892,3145.3359,40111,64846,24735,0.150758094098426,0.80324914706805,51.3955475633701,48922,53228
"MSE",3,3990,1.32143859649123,0.0879451823042858,1.32,1.31782268170426,0.0889559999999997,1.04,1.67,0.63,0.468073031807566,0.53996271963206,0.00139227686175666,1.26,1.37
"Mg",4,3990,8.44135338345865,12.6862734240499,0,5.80231829573935,0,0,71,71,1.62196675241824,2.20767411343342,0.200838800801057,0,14
"Al",5,3990,18.6553884711779,15.1905351707435,17,17.2954260651629,17.0499,0,77,77,0.58763147366208,-0.248310080328328,0.240484243500127,6,29
"Si",6,3990,10.7859649122807,11.1274799814829,9,9.32330827067669,13.3434,0,67,67,0.869945831344753,0.188023757298374,0.176161246153037,0,18
"P",7,3990,10.8664160401003,9.9337968984471,10,9.78258145363409,14.826,0,53,53,0.687337630448269,-0.0759343826911993,0.157263822857798,0,18
"S",8,3990,40.6491228070175,15.5090344927537,40,40.281954887218,14.826,0,109,109,0.220102061237365,0.0863190510402152,0.245526466677125,30,51
"Cl",9,3990,134.50626566416,23.682317862337,135,134.594611528822,23.7216,58,217,159,0.00837213003957558,0.0967413917728934,0.374919265940181,119,151
"K",10,3990,53.6453634085213,36.5405889054768,44,49.0955513784461,29.652,0,323,323,1.5936302857533,4.32315912607487,0.578480993672102,28,72
"Ca",11,3990,365.925814536341,135.865848226255,336.5,350.244360902256,114.9015,101,1314,1213,1.3970192052495,3.12547420114036,2.15091801315351,270,433
"Ti",12,3990,115.203007518797,91.1534585836422,92,101.97619047619,68.1996,0,1105,1105,2.23976764574268,9.81566047120069,1.44306769205383,52,154
"V",13,3990,11.9839598997494,12.6790310112288,10,10.1300125313283,14.826,0,74,74,1.10974878386944,1.11716799505325,0.200724144790006,0,20
"Cr",14,3990,16.947619047619,13.9525217602332,16,15.6550751879699,14.826,0,82,82,0.647410011364098,0.0463094185132298,0.220885018382437,5,26
"Mn",15,3990,82.2551378446115,54.7672260783071,71,76.5131578947368,48.9258,0,452,452,1.20896575685015,2.39898168557882,0.867030343829386,41,113
"Fe",16,3990,5586.3962406015,4218.79580784894,4495.5,4939.06610275689,3376.6215,573,31103,30530,1.56390443395402,2.90605630751405,66.7885566195231,2457.5,7297.25
"Co",17,3990,95.8315789473684,58.0041077483421,91,92.8558897243108,57.8214,0,491,491,0.606393211192692,0.783296720550965,0.918274031492017,54,132
"Ni",18,3990,187.454135338346,37.2834740151314,188,187.420739348371,37.065,63,334,271,0.0144113424542355,-0.0495050854600017,0.590241748747202,162,213
"Cu",19,3990,117.65664160401,45.444269707906,117,117.184837092732,45.9606,0,300,300,0.132740265580073,0.0194694464187029,0.719436853230144,86,148
"Zn",20,3990,5.44035087719298,15.9950113141967,0,0.989661654135338,0,0,216,216,4.09286420533764,22.2760113125102,0.253220057913358,0,0
"As",21,3990,2.1203007518797,11.9362207446643,0,0,0,0,190,190,7.48374164242062,68.2951851127588,0.188964574570062,0,0
"Se",22,3990,59.8318295739348,53.1107579411743,52,54.0764411027569,63.7518,0,342,342,0.756436971863071,0.0863601887332544,0.840806482565587,10,95
"Br",23,3990,2470.02531328321,522.434031945288,2433.5,2448.45520050125,511.497,1071,4701,3630,0.528219004632555,0.610485726684272,8.27075225058936,2109.25,2803.75
"Rb",24,3990,87.1395989974937,75.3772915742769,78,79.7725563909774,91.9212,0,459,459,0.666534330579507,-0.108410557084321,1.19331219983879,16,140
"Sr",25,3990,678.377694235589,264.804935758763,643.5,661.573934837093,277.9875,72,1764,1692,0.58059434023485,0.0143137443910151,4.19217716395499,474,855
"Y",26,3990,1.80651629072682,9.97671682269025,0,0,0,0,137,137,7.23950709090238,61.63981479344,0.157943296319179,0,0
"Zr",27,3990,740.92305764411,140.59190615353,740,739.858082706767,142.3296,316,1877,1561,0.311784773248907,1.54136086842307,2.22573713259884,644,836
"Sn",28,3990,0.957644110275689,2.95337894511373,0,0.0842731829573935,0,0,29,29,3.56244494125328,14.1661585991843,0.0467555022520064,0,0
"I",29,3990,1.06867167919799,3.09655692959536,0,0.155075187969925,0,0,25,25,3.20718579788794,10.7763582821446,0.0490221800811228,0,0
"Cs",30,3990,0.214285714285714,1.32826889173672,0,0,0,0,19,19,7.2586560970141,60.8997307229167,0.0210280767598805,0,0
"Ba",31,3990,3.25964912280702,6.87106852896256,0,1.51221804511278,0,0,60,60,2.6275692489006,8.06989971470034,0.108777189128105,0,4
"Ir",32,3990,2.81829573934837,10.2617200836514,0,0.12468671679198,0,0,193,193,5.79601943841146,52.8386482740261,0.16245523700046,0,0
"Pt",33,3990,26.4345864661654,32.9680460435818,12,20.6428571428571,17.7912,0,223,223,1.38378830293253,1.76152823299825,0.521923390015763,0,45
"Au",34,3990,17.2919799498747,27.1410013487654,0,11.4310776942356,0,0,171,171,1.81220263097605,3.17160403135898,0.429674340227627,0,28
"Hg",35,3990,1.25538847117794,8.72872924606773,0,0,0,0,225,225,12.2494982632655,211.655589099858,0.138186168285952,0,0
"Pb",36,3990,88.7431077694236,65.3054333139426,84,84.0482456140351,71.1648,0,347,347,0.522021930485783,-0.248675424401751,1.03386270137465,35.25,131
"Th",37,3990,70.7822055137845,61.1807274231022,62.5,64.406328320802,70.4235,0,405,405,0.772213924811581,0.272088217290493,0.968563700077465,16,111
"U",38,3990,25.6275689223058,40.1997786425827,0,16.9426691729323,0,0,301,301,1.89734614886115,4.06136202673709,0.636410320444351,0,42
"Mo_inc",39,3990,33723.2122807018,4755.09321289538,34338.5,34020.826754386,5269.1604,19796,42923,23127,-0.479276702200506,-0.51530423942443,75.278782559164,30353.5,37623.25
"Mo_coh",40,3990,5678.97318295739,442.359354460217,5703.5,5693.99498746867,473.6907,4271,6848,2577,-0.288008934053014,-0.35541126840869,7.00307484343641,5374,6016
