"rowname","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se","Q0.25","Q0.75"
"kcps",1,4685,19593.8288153682,1722.3742326111,19772,19668.8933048813,1820.6328,13918,23383,9465,-0.37255822164958,-0.451609223274257,25.1635970452697,18413,20911
"cps",2,4685,51276.7596584845,3393.71135237639,51397,51231.834622566,3036.3648,40111,77577,37466,0.688933966431207,3.82242161026852,49.5815504797088,49108,53278
"Cl",3,4685,134.967769477054,23.4208614100082,135,135.033875700187,23.7216,58,217,159,0.0101270294849851,0.0785954176762687,0.342174835071181,119,151
"K",4,4685,56.558591248666,39.4706897240107,46,51.3547612696719,29.652,0,357,357,1.79408112762421,5.66117778808067,0.576660119797633,30,75
"Ca",5,4685,378.61173959445,146.784368673635,345,360.208855694852,120.0906,101,1435,1334,1.52291358306081,3.68549138748082,2.1444948698798,276,446
"Ti",6,4685,121.465101387407,97.0805474600796,97,106.951186983196,71.1648,0,1383,1383,2.47938404471855,13.5450246862615,1.41833042492526,55,160
"Mn",7,4685,85.3590181430096,56.6497436224943,73,79.2640704187783,50.4084,0,452,452,1.29309609278714,2.84214069716096,0.827643199859781,44,116
"Fe",8,4685,5884.86424759872,4516.00505172098,4623,5170.34995998933,3352.1586,573,33478,32905,1.63876389460404,3.28198996993061,65.9780721426806,2600,7545
"Co",9,4685,95.9993596584845,58.7009111342656,91,92.8943718324887,57.8214,0,491,491,0.648745555201273,0.948649593467171,0.857610411259777,54,132
"Ni",10,4685,187.299252934899,37.1436511585604,188,187.309415844225,37.065,63,361,298,0.0229132210021576,0.0250120440817647,0.542662478831407,162,213
"Br",11,4685,2470.45485592316,517.980951337345,2438,2451.33128834356,508.5318,1071,4701,3630,0.477482250545246,0.518965946652747,7.56761433711106,2115,2806
"Rb",12,4685,89.1180362860192,75.6771138496825,81,82.0480128034142,91.9212,0,459,459,0.639052621841198,-0.126100551926891,1.10562986974991,18,142
"Sr",13,4685,687.901387406617,267.468001885572,649,669.996532408642,274.281,72,1764,1692,0.613200259135096,0.0714609464149465,3.90766239677697,482,864
"Mo_inc",14,4685,33564.8648879402,4746.59234280796,34187,33852.9338490264,5279.5386,19293,42923,23630,-0.475178509416549,-0.507297523416065,69.3469135749382,30144,37433
"Mo_coh",15,4685,5667.0469583778,438.24830348308,5692,5681.00320085356,472.9494,4271,6848,2577,-0.27706380307297,-0.346447496090709,6.40273379955477,5361,5999
