"Site","label","ID","depth","SH20_age","surface","validity","kcps","cps","MSE","K","Si","Ca","Ti","Mn","Fe","Ni","Cu","Br","Rb","Sr","Mo_inc","Mo_coh","inc_coh","coh_inc","LnK_Ti","LnK_Ca","LnTi_Ca"
"HER44L","HER44L_2A","HER44L_2A_1",1.05,539.41,6.49,1,28946,95148,1.45,-1.64670932010938,-3.45285752678953,-0.125322285798015,-0.845348554909202,-0.820030746924913,3.85376140844111,-1.52575670969172,-1.49460154191192,1.28448443230704,-1.91552290825678,0.142666357763398,4.14202686042698,2.40321053545293,5.69118745332338,0.175710255232596,-0.805318979048542,-1.52699424322303,-0.721675264174483
"HER44L","HER44L_2A","HER44L_2A_0",1.1,541.07,6.49,1,29307,97267,1.51,-1.26483479661943,-6.35243113185182,0.195787970910555,-0.658698993049118,-0.532348201499456,4.13288090259999,-1.25868093104506,-1.10540705969133,1.53440186710324,-2.07576501283576,0.364163641669161,4.39117859732242,2.62975314698661,5.82133433848473,0.171781921781922,-0.608955089339597,-1.46538104577606,-0.856425956436463
"HER44L","HER44L_2A","HER44L_2A_1",1.15,542.72,6.49,1,29547,97239,1.53,-1.50611813654598,-6.39646726476774,0.107820908768907,-0.600409514002367,-0.702735125965039,4.07497265820626,-1.13377707586285,-1.51366534218137,1.56490293695177,-1.32756306254751,0.524204239480945,4.34817790682703,2.56065687163794,5.97526410718887,0.167356619232428,-0.910211685797773,-1.61998812332925,-0.70977643753148
"HER44L","HER44L_2A","HER44L_2A_2",1.2,544.38,6.49,1,29993,99524,1.57,-1.40046220437289,-3.20327150978753,0.0327891398347729,-0.685575037176538,-1.01722023304943,3.93068929454464,-2.16181763495937,-1.46280533494702,1.38678503839051,-2.0297579129463,0.0962622180981263,4.14271719451818,2.37166698185286,5.87763873088105,0.170136349950536,-0.717705031341609,-1.43744952442082,-0.719744493079211
"HER44L","HER44L_2A","HER44L_2A_3",1.25,546.03,6.48,1,29560,96377,1.4,-1.56482753759809,-4.54798102894522,0.0124532632014759,-0.616155396220898,-0.93369043182236,3.82352142949885,-1.83993082784301,-1.36992719859728,1.28536665006562,-0.94044721428524,0.222703595520441,4.11051639316874,2.35839830385698,5.76740110165248,0.173388322118515,-0.952567380094287,-1.58232198381821,-0.629754603723926
"HER44L","HER44L_2A","HER44L_2A_4",1.3,547.69,6.48,1,29525,97230,1.66,-1.31544415839745,-3.59605034467272,0.019556908334893,-0.549459653885236,-0.908498665118849,3.74596874158634,-2.02201435928953,-1.60758058119861,1.19722176102483,-1.35164720706141,0.144720051288899,3.99359331965429,2.24963418773454,5.72053829706955,0.174808723946882,-0.768370601797533,-1.33828514193353,-0.569914540135997
"HER44L","HER44L_2A","HER44L_2A_5",1.35,549.34,6.48,1,28845,93709,1.33,-1.46163714262803,-4.14721448787818,0.237932274131944,-0.572997942084385,-0.785682362608458,3.78107141096723,-1.70486745250898,-1.5445248024338,1.30382396568752,-1.61484130085126,0.124811251581372,4.07929212206598,2.30483446655904,5.89772577888787,0.169556883024251,-0.89199803930511,-1.70422847674219,-0.812230437437082
"HER44L","HER44L_2A","HER44L_2A_6",1.4,551,6.48,1,28731,94153,1.43,-1.27546718987525,-4.76182237987771,0.257662529495525,-0.772838333313439,-0.664703890772888,3.85684378046916,-1.14641007764565,-2.18413399663875,1.31620205342438,-1.58376854952977,0.35116892085607,4.15593504104698,2.45133209236136,5.49975436010808,0.181826302507872,-0.50465276465891,-1.53714289155139,-1.03249012689248
"HER44L","HER44L_2A","HER44L_2A_7",1.45,552.65,6.47,1,28335,90730,1.53,-1.52583683230291,-3.20383741617431,0.109761906169862,-0.814778725176435,-1.01380711447212,3.70607682090229,-1.47876932144492,-1.4673406256213,1.21616846656479,-2.03265443467136,0.136399265698161,4.06032825562697,2.30828975490129,5.7669662628631,0.173401395884625,-0.714137456451781,-1.64046665467279,-0.926329198221012
"HER44L","HER44L_2A","HER44L_2A_8",1.5,554.31,6.47,1,28270,89696,1.4,-1.70082020538082,-3.10129920149267,0.0440838465657309,-0.765003051156309,-1.00415808271343,3.63692099561847,-1.59405222995511,-1.75880746303117,1.19928493673653,-1.53865345056532,0.216516571230438,4.04953670084327,2.31645063330039,5.65867883859516,0.176719695272238,-0.940118067954713,-1.75074044978351,-0.810622381828797
