"rowname","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se","Q0.25","Q0.75"
"Mg",1,1156,0.0157128994218336,0.0187472221982154,0.0101711051421563,0.0125231782189812,0.0150796804837609,0,0.111755255989383,0.111755255989383,1.25230456444933,1.17477823120317,0.000551388888182806,0,0.0253300839721961
"Al",2,1156,0.0385242492914653,0.0207788680720562,0.0380341416462169,0.0381760896891099,0.0203696079192334,0,0.120136900188587,0.120136900188587,0.23020276669892,-0.0283824705237685,0.000611143178589887,0.0245576696043505,0.0519588098808323
"Si",3,1156,0.0889912888729208,0.0794096316337715,0.0702915293465675,0.0751494927465467,0.0527760508049259,0,0.659825235478171,0.659825235478171,2.3830147881334,8.65315559775704,0.00233557740099328,0.0374983650081706,0.110670799455725
"P",4,1156,0.0129744490756578,0.0121476981585522,0.010982449492775,0.0116138158083737,0.0162825796179882,0,0.0618497189273884,0.0618497189273884,0.736127582357046,-0.0592515053437732,0.000357285239957418,0,0.0213223686776308
"S",5,1156,0.122941932889407,0.0498659010586678,0.133206906743022,0.124860084008652,0.0482132929619426,0.00686082810195191,0.246526014496099,0.239665186394147,-0.375793011104394,-0.771755877594601,0.00146664414878435,0.0828928882553439,0.159506871621594
"Cl",6,1156,0.0669576418371044,0.0202738655676021,0.0659023281011302,0.066521610518277,0.0205982436778853,0.0106695636148482,0.1478574116888,0.137187848073952,0.251182994836605,0.0651637324121146,0.000596290163753002,0.0525274530423962,0.080247682873316
"K",7,1156,0.444880469551456,0.220486067810517,0.420406757164675,0.426548059793411,0.192369733284904,0.0591993290742705,1.41593493827561,1.35673560920133,0.95343453413908,1.46815193817669,0.00648488434736815,0.298958551812103,0.556602056520586
"Ca",8,1156,1.87002952210535,0.96380878538375,1.74154454885986,1.74176133319969,0.790357851301987,0.372315506570999,6.80122093883204,6.42890543226104,1.43659462100653,2.6940505135945,0.0283473172171691,1.19322571567724,2.24467091789457
"Ti",9,1156,0.833761908436271,0.329591418108351,0.834719471656976,0.816172960132721,0.248252431492802,0.166536871742647,2.81598322936906,2.64944635762641,0.961950895401992,3.23953707684612,0.0096938652384809,0.643666651816491,0.983499398079356
"V",10,1156,0.0707621674750258,0.0314885894134558,0.0725036107838104,0.071278741443635,0.0321970468767971,0,0.170290532261749,0.170290532261749,-0.0922849278588876,-0.350710054346917,0.000926134982748699,0.0483871962279522,0.0929443073666242
"Cr",11,1156,0.032119933515318,0.0221745038769913,0.0304330612960911,0.0308130744013751,0.0217956482996494,0,0.161431180035462,0.161431180035462,0.881990109937825,2.25006965250504,0.000652191290499743,0.0162003392266452,0.045791712334719
"Mn",12,1156,0.507281504140499,0.172605534681019,0.499229885154948,0.4959060180106,0.141017168488497,0.124649793437485,1.17536436295252,1.05071456951503,0.756045754981952,1.24588050558448,0.00507663337297114,0.395716681963256,0.583126870468936
"Fe",13,1156,43.9373883835025,8.50254939186772,46.2943617248009,44.9395188837535,5.8563035405428,20.6006361417265,60.5209995664487,39.9203634247222,-1.00817710807259,0.255384504301431,0.250074982113757,40.5377187334614,49.5912453078731
"Co",14,1156,0.133750992096001,0.0933954427159161,0.128840801985273,0.128635112379136,0.0995468932822653,0,0.49117858114963,0.49117858114963,0.443603266891688,-0.157199071734541,0.00274692478576224,0.0599853108363862,0.194814971526354
"Ni",15,1156,0.125857967007053,0.0494619706849535,0.121936465688188,0.123145235859492,0.0439412184768094,0,0.601266303275079,0.601266303275079,1.25112855557616,7.50125792907513,0.0014547638436751,0.0927616952666885,0.15240085835084
"Cu",16,1156,0.192741350630266,0.0739887494221742,0.189658228132541,0.191403998940126,0.0726170807333902,0,0.561326687473797,0.561326687473797,0.281451972866082,0.698976791623302,0.00217613968888748,0.142102755254516,0.239668581946266
