"rowname","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se","Q0.25","Q0.75"
"kcps",1,1156,25031.1626297578,2914.66996719775,24969.5,25125.13174946,3241.7049,17204,30518,13314,-0.248395774487791,-0.57071880365769,85.7255872705219,23004.25,27350.75
"cps",2,1156,88984.8269896194,9845.77638690574,88665.5,88772.1393088553,10033.4955,58238,121511,63273,0.213714252286744,0.178941636303571,289.581658438404,82044.5,95713.5
"MSE",3,1156,1.49127162629758,0.107847217206431,1.49,1.48753779697624,0.103782,1.22,1.93,0.71,0.429019530073619,0.498941306999451,0.00317197697665973,1.42,1.56
"Mg",4,1156,14.0389273356401,16.6329680516648,9,11.2602591792657,13.3434,0,88,88,1.19143246643612,0.841046298963212,0.489204942696024,0,23
"Al",5,1156,34.1695501730104,18.2057211921551,34,34.0442764578834,19.2738,0,93,93,0.0855667562956362,-0.420617620343865,0.535462388004561,21.75,47
"Si",6,1156,76.0839100346021,59.7980646628774,65,67.1555075593952,47.4432,0,480,480,1.78073259542833,4.8791145388964,1.75876660773169,34,98
"P",7,1156,11.4377162629758,10.5833535700499,10,10.2991360691145,14.826,0,54,54,0.672871101137378,-0.251522025869966,0.311275105001467,0,19
"S",8,1156,111.07785467128,49.8167463722444,119,111.24838012959,51.1497,6,267,261,-0.0987809668001865,-0.713919705751186,1.46519842271307,69,146.25
"Cl",9,1156,58.9965397923875,16.8643168501363,60,59.0064794816415,16.3086,11,120,109,0.0297057016815472,-0.0269941897219632,0.496009319121656,48,70
"K",10,1156,389.031141868512,172.00618854993,391,382.606911447084,157.8969,48,937,889,0.356349502797,0.0889835121384821,5.05900554558619,272,489
"Ca",11,1156,1621.04152249135,727.04284992956,1538,1549.26889848812,598.2291,302,5058,4756,1.04095902415173,1.57580474338806,21.3836132332224,1132.75,1937.75
"Ti",12,1156,739.070934256055,286.687905460162,750.5,728.721382289417,203.8575,139,2317,2178,0.658450951137764,2.1786040070055,8.43199721941654,587.75,874
"V",13,1156,63.9576124567474,30.9015042294926,65,63.6771058315335,32.6172,0,164,164,0.112739952520959,-0.341134882438619,0.908867771455666,41,86
"Cr",14,1156,28.7006920415225,19.7274160305806,27,27.5583153347732,20.7564,0,144,144,0.725754339295254,1.30367209055213,0.580218118546488,14,42
"Mn",15,1156,446.666955017301,142.124683927679,439,441.727861771058,118.608,105,991,886,0.52309222125043,1.2269382968446,4.18013776257878,364,524
"Fe",16,1156,39475.8079584775,10399.3883855026,40205,39537.0691144708,10183.9794,16286,70117,53831,-0.0338985690797649,-0.334236655516715,305.864364279487,32481,46374.75
"Co",17,1156,120.444636678201,85.4241135940613,114,115.376889848812,93.4038,0,420,420,0.458586883844576,-0.29408906950838,2.5124739292371,53,180
"Ni",18,1156,110.602076124567,40.0887862570665,108,109.288336933045,37.065,0,396,396,0.616718580480763,2.34545280370755,1.17908194873725,84,134
"Cu",19,1156,172.506055363322,69.4669185811034,169.5,171.090712742981,65.9757,0,482,482,0.276015525185513,0.368746762934236,2.0431446641501,126,215
"Zn",20,1156,146.061418685121,59.0025653508861,143,144.403887688985,56.3388,0,384,384,0.312546623301567,0.313901552225242,1.73536956914371,106,182.25
"As",21,1156,12.818339100346,32.7781187072049,0,3.91900647948164,0,0,287,287,3.45430155235662,14.3731805727291,0.96406231491779,0,0
"Se",22,1156,66.7647058823529,59.3341991278823,59,60.670626349892,72.6474,0,363,363,0.826028950484259,0.615756209432316,1.74512350376124,10,108.25
"Br",23,1156,1369.76124567474,709.755147160656,1261,1308.37688984881,554.4924,65,3494,3429,0.78149936217254,0.134314333867609,20.8751513870781,887,1634
"Rb",24,1156,280.762110726644,120.47669955053,294,283.338012958963,115.6428,0,622,622,-0.176533841995409,-0.285754560423125,3.54343233972146,201,358
"Sr",25,1156,1833.0008650519,720.002760335699,1899,1827.54535637149,768.7281,226,4093,3867,0.0228065335668865,-0.58657946231861,21.1765517745794,1256.5,2340.25
"Y",26,1156,0.833910034602076,6.3307201758683,0,0,0,0,93,93,9.67015615497168,107.74244583372,0.186197652231421,0,0
"Zr",27,1156,838.797577854671,223.61794999782,812,820.010799136069,176.4294,344,2585,2241,1.72429131596425,7.35804422604444,6.57699852934766,702.75,944
"Sn",28,1156,0.323529411764706,1.77012240631357,0,0,0,0,17,17,6.27677530164508,42.7190588522804,0.0520624237151049,0,0
"I",29,1156,1.91868512110727,4.7134656876949,0,0.657667386609071,0,0,46,46,3.11487893101961,12.649359787726,0.138631343755732,0,0
"Cs",30,1156,0.571799307958478,2.39607194014951,0,0,0,0,20,20,4.59609230147346,21.9972616408926,0.0704727041220443,0,0
"Ba",31,1156,9.93858131487889,14.5977712606342,0,7.13390928725702,0,0,148,148,2.29027883331225,10.1419068762192,0.429346213548065,0,17
"Ir",32,1156,17.6773356401384,36.7758231116005,0,9.29697624190065,0,0,387,387,4.1681324433636,26.7108835378502,1.08164185622355,0,23
"Pt",33,1156,12.5371972318339,30.5840889018436,0,4.51295896328294,0,0,293,293,3.6299349961565,16.9739390130058,0.899532026524811,0,8
"Au",34,1156,23.1617647058824,37.197643992795,0,15.1695464362851,0,0,327,327,2.38267559760355,8.9362581448487,1.09404835272927,0,36
"Hg",35,1156,8.45242214532872,31.6149778633002,0,0.938444924406048,0,0,419,419,6.84152777777014,63.0473057553639,0.929852290097066,0,0
"Pb",36,1156,82.4610726643599,70.3511492275448,74,75.7451403887689,85.9908,0,362,362,0.669795916166449,-0.07783884997535,2.06915144786896,17,133
"Th",37,1156,66.8737024221453,64.6301335677213,53,58.877969762419,78.5778,0,446,446,1.06612959477469,1.41530863489035,1.90088628140357,5,107.25
"U",38,1156,27.242214532872,44.9409249556662,0,17.011879049676,0,0,270,270,1.98981796665683,4.00067983227533,1.32179191046077,0,41
"Mo_inc",39,1156,33351.1271626298,7462.66115924843,32227,32841.1436285097,6408.5385,18642,51869,33227,0.608120679741343,-0.111916541207386,219.490034095542,28140,36739.5
"Mo_coh",40,1156,7179.75605536332,454.132026121752,7124.5,7154.46220302376,380.2869,6014,8580,2566,0.49794730655453,0.144063976948779,13.3568242976986,6882.5,7414.25
