"Site","label","ID","depth","SH20_age","surface","validity","kcps","cps","MSE","S","K","Ca","Ti","Mn","Fe","Co","Ni","Cu","Br","Rb","Sr","Mo_inc","Mo_coh","TS_sum","inc_coh","coh_inc","LnK_Ti","LnK_Ca","LnTi_Ca"
"HER49L","HER49L_1A","HER49L_1A_5",5.9,984.21,6.86,1,27428,65651,1.59,-1.05799398882995,0.907990508464288,1.03644055104705,-0.708919081005269,0.0559021406717889,-0.742928040239603,NA,-1.11102238025296,-1.1840725022563,-1.31962627496028,NA,2.28165992998975,-1.09558321037438,-0.222421129472337,56682,5.61786339754816,0.178003616185548,0.350860974073313,-1.81694971805661,-2.16781069212993
"HER49L","HER49L_1A","HER49L_1A_6",6,987.78,6.91,1,27568,67333,1.38,-0.0176483171789428,1.15253963522215,0.91874687784713,-0.695615693632891,-0.798623007020551,-0.74217649152271,NA,-1.23990647030616,-0.340159934212219,-1.43641369044779,NA,1.56708728365691,-0.708512382200949,0.489281641869489,59041,5.70844222247472,0.175179140127389,0.428668005187828,-1.68026396500271,-2.10893197019054
"HER49L","HER49L_1A","HER49L_1A_7",6.1,991.35,6.94,1,27935,70025,1.34,-0.948483918129842,0.885758769668119,2.19376167084627,-0.31646915352013,0.070635332873381,-0.58119475636423,0.761321197535955,-0.904807836167826,-1.62612194266034,-1.41102512186355,-0.800888561811462,1.89568638379537,-0.615527868602999,0.055022323762612,59407,5.86230795887721,0.170581280788177,-0.277319285416234,-2.08458294118025,-1.80726365576402
"HER49L","HER49L_1A","HER49L_1A_8",6.2,994.92,6.96,1,28314,67974,1.4,0.0371067181711101,0.196574866986867,1.35029034624684,-0.688963999946702,-0.695490661609406,-0.728498304875257,NA,-1.80699646654027,-0.46071887250423,-1.56538761885575,NA,0.00754552268229257,-0.502305549104318,-0.192264232381581,59946,5.99078717201166,0.166922972104884,-0.0870113769896298,-2.28885490018214,-2.20184352319251
"HER49L","HER49L_1A","HER49L_1A_9",6.3,998.49,6.96,1,29022,70311,1.31,-0.565198670679472,0.574514426521747,1.35682888364683,-0.70226738731908,-1.01962089004443,-0.871292561084926,-1.25267066712265,-1.18835283428488,1.32757204549393,-1.22924297080038,0.330273702215939,1.46798596774213,-0.0979140762410761,-0.421456650271322,62088,6.3053300388281,0.15859598051839,0.170345365747239,-2.06120395413006,-2.23154931987729
"HER49L","HER49L_1A","HER49L_1A_10",6.4,1002.07,6.96,1,28846,69956,1.58,-0.948483918129842,-0.581535990879062,0.820668816847196,-0.655705531515758,-0.739690238214183,-0.65845396446083,-0.924811526364276,0.0231576122152604,-1.48546984798632,-1.16627932071146,0.289875049929246,0.0284089576117188,-0.276225555258322,-0.457644926780228,61098,6.19901025097207,0.161316074585163,-0.909818217368538,-2.91164915634345,-2.00183093897491
"HER49L","HER49L_1A","HER49L_1A_11",6.5,1005.64,6.97,1,28740,69432,1.5,-0.565198670679472,-1.02617076680245,0.219123376047601,-0.815346179984289,-0.0619633969409476,-0.633201927573225,-0.456441325280879,-0.647039656061413,-0.742023061852256,-1.42422717752736,-1.33953725896737,0.359615987116361,-0.337668263263242,0.100257669398745,60946,6.02790590405904,0.165895091249952,-1.57239664075375,-3.77171545969309,-2.19931881893933
"HER49L","HER49L_1A","HER49L_1A_12",6.6,1009.21,6.99,1,28448,70020,1.32,-0.674708741379578,-0.425913819305876,0.97759371444709,-0.682312306260514,-0.327160856569605,-0.627640467068217,-1.12777194683375,-1.1367991982636,-1.00323409481828,-1.35720135646496,NA,0.839474990493165,-0.324723360389802,-0.406378201725944,60849,6.15533866415804,0.16246059795587,-0.652873281422005,-2.74929315963626,-2.09641987821425
"HER49L","HER49L_1A","HER49L_1A_13",6.7,1012.78,7,1,28208,70723,1.41,-1.38652420093027,0.329965299763884,1.78183381464655,-0.615795369398626,-0.386093625375973,-0.542264532829173,-0.89358684629205,-1.00791510821039,1.0060815433819,-1.69131491903359,NA,0.578682053875336,-0.320712263724792,-0.291781992781074,60909,6.13053149145399,0.163117994156625,-0.142174488780543,-2.29840972158357,-2.15623523280302
"HER49L","HER49L_1A","HER49L_1A_14",6.8,1016.36,7,1,28308,73247,1.35,0.091861753521163,0.552282687725578,1.71644844064659,-0.609143675712437,1.13142517138801,-0.150707651327923,-0.237868564775293,-1.31723692433809,0.543938946595862,-1.7177190303612,-0.841287214098155,0.860338425422591,-0.384889810364946,-0.29479768249015,60556,6.09003629551575,0.164202633855619,-0.0240975515790605,-2.15431141863232,-2.13021386705326
