"rowname","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se","Q0.25","Q0.75"
"kcps",1,2421,30232.5931433292,1631.25913014717,30592,30352.966442953,1946.6538,25216,33011,7795,-0.498116338085721,-0.708828079693034,33.1532081795013,28944,31704
"cps",2,2421,77243.3011152416,3324.75328765233,76761,76997.3040784719,2713.158,63450,91166,27716,0.686914956227995,1.31759177078892,67.5712618884005,75121,78850
"S",3,2421,58.2982238744321,18.2978195237414,57,57.2994321115127,17.7912,0,140,140,0.630186024697948,0.922332424961047,0.371879248790358,46,69
"K",4,2421,54.4192482445271,45.5563562666521,40,48.5776974703149,38.5476,0,401,401,1.32526925630919,2.68588630298003,0.925873354696004,20,80
"Ca",5,2421,444.487401900041,152.939402013771,424,434.48322147651,158.6382,119,1123,1004,0.598736033718877,0.104911791238526,3.10829330552377,331,544
"Ti",6,2421,173.256505576208,150.681100656508,117,155.681466184822,126.021,0,943,943,1.00272948487092,0.680429281049341,3.06239628423162,48,285
"Mn",7,2421,72.3453118546055,69.2194895621429,46,63.5844088797109,60.7866,0,396,396,0.965893086607511,0.183570034627113,1.40679558821872,16,121
"Fe",8,2421,7309.64725320116,6652.92866265634,4339,6470.96954052659,4898.5104,433,28624,28191,0.807651997392702,-0.616637296822525,135.212073226231,1518,12547
"Co",9,2421,77.1871127633209,67.7868262815245,64,69.2333505420754,69.6822,0,338,338,0.897087364214601,0.310739313056323,1.37767858092314,22,119
"Ni",10,2421,184.101610904585,38.7945478602974,184,184.098606091895,40.0302,59,318,259,-0.00228287264055911,-0.182832928681922,0.788448443090724,157,211
"Cu",11,2421,108.638166047088,51.7173861516051,107,107.660299432112,51.891,0,384,384,0.296185175980546,0.394632573570091,1.05108822865508,73,142
"Br",12,2421,3268.42957455597,984.695136200649,3410,3276.59370160041,899.9382,869,6010,5141,-0.111403238655497,-0.340603506437625,20.0126406899296,2626,3888
"Rb",13,2421,64.7054935976869,78.6870751275072,33,51.4047496128033,48.9258,0,371,371,1.18140736595871,0.669012051868664,1.59921188150098,0,114
"Sr",14,2421,738.19083023544,384.089711583088,682,714.790397521941,435.8844,0,3043,3043,0.635763162209715,0.474801441244832,7.80612100946212,424,1023
"Mo_inc",15,2421,54126.0375877736,5484.78429650292,55954,54642.1997934951,5386.2858,38226,62482,24256,-0.613183678243854,-0.855537176897613,111.471066883908,49661,58988
"Mo_coh",16,2421,8638.75464684015,331.599102185667,8665,8652.01187403201,332.1024,7376,9498,2122,-0.361412386577118,-0.154176015361814,6.73931802968992,8421,8878
