SITE,SECTION_ID,MSCL_ID,RCT,SB_DEPTH,SECT_NUM,SECT DEPTH,Field_depth,Strat_depth,CT,PWAmp_SAT,PWVel_SAT,Den1_SAT,MS1_SAT,DCMS1_SAT,Imp_SAT,FP_SAT,RES_SAT,PWAmp_UNSAT,PWVel_UNSAT,Den1_UNSAT,MS1_UNSAT,DCMS1_UNSAT,Imp_UNSAT,FP_UNSAT,RES_UNSAT,PWAmp_SAT_UNSAT,PWVel_SAT_UNSAT,Den1_SAT_UNSAT,MS1_SAT_UNSAT,DCMS1_SAT_UNSAT,Imp_SAT_UNSAT,FP_SAT_UNSAT,RES_SAT_UNSAT
HER34L,HER34L_1A,HER34L_1A_1,2.9,1,1,1,11,11,1.928,0,1270.092,0.5453,-0.4,-0.7,692.5295,1.2756,1.956,0,1270.092,1.8938,-0.4,-0.2,2405.363,0.4583,1.956,0,1270.1,1.2196,-0.4,-0.5,1548.9,0.9,2
HER34L,HER34L_1A,HER34L_1A_2,2.9,1.1,1,1.1,11.1,11.1,1.971,0,1294.156,0.6574,-0.4,-0.6,850.7996,1.2076,1.8625,0,1294.156,1.8945,-0.4,-0.2,2451.756,0.4579,1.8625,0,1294.2,1.276,-0.4,-0.4,1651.3,0.8,1.9
HER34L,HER34L_1A,HER34L_1A_3,2.9,1.2,1,1.2,11.2,11.2,1.997,0,1306.937,0.5999,-0.4,-0.7,784.0319,1.2425,1.7774,0,1306.937,1.853,-0.4,-0.2,2421.698,0.4831,1.7774,0,1306.9,1.2265,-0.4,-0.4,1602.9,0.9,1.8
HER34L,HER34L_1A,HER34L_1A_4,2.9,1.3,1,1.3,11.3,11.3,2.014,0,1326.746,0.6392,-0.5,-0.8,848.0319,1.2187,1.7001,0,1326.746,1.8526,-0.5,-0.3,2457.892,0.4833,1.7001,0,1326.7,1.2459,-0.5,-0.5,1653,0.9,1.7
HER34L,HER34L_1A,HER34L_1A_5,2.9,1.4,1,1.4,11.4,11.4,2.029,0,1332.239,0.5947,-0.5,-0.8,792.2185,1.2457,1.6288,0,1332.239,1.8252,-0.5,-0.3,2431.56,0.4999,1.6288,0,1332.2,1.21,-0.5,-0.6,1611.9,0.9,1.6
HER34L,HER34L_1A,HER34L_1A_6,2.9,1.5,1,1.5,11.5,11.5,2.066,0,1347.684,0.5362,-0.4,-0.7,722.563,1.2811,1.5632,0,1347.684,1.7764,-0.4,-0.2,2393.984,0.5295,1.5632,0,1347.7,1.1563,-0.4,-0.5,1558.3,0.9,1.6
HER34L,HER34L_1A,HER34L_1A_7,2.9,1.6,1,1.6,11.6,11.6,2.11,0,1389.987,0.5597,-0.5,-0.9,777.9164,1.2669,1.5027,0,1389.987,1.751,-0.5,-0.3,2433.822,0.5449,1.5027,0,1390,1.1554,-0.5,-0.6,1605.9,0.9,1.5
HER34L,HER34L_1A,HER34L_1A_8,2.9,1.7,1,1.7,11.7,11.7,2.132,0,1395.288,0.489,-0.4,-0.8,682.2919,1.3097,1.3945,0,1395.288,1.7113,-0.4,-0.2,2387.752,0.5689,1.3945,0,1395.3,1.1002,-0.4,-0.5,1535,0.9,1.4
HER34L,HER34L_1A,HER34L_1A_9,2.9,1.8,1,1.8,11.8,11.8,2.111,0,1386.08,0.5857,-0.5,-0.9,811.8167,1.2511,1.346,0,1386.08,1.7591,-0.5,-0.3,2438.266,0.5399,1.346,0,1386.1,1.1724,-0.5,-0.6,1625,0.9,1.3
HER34L,HER34L_1A,HER34L_1A_10,2.9,1.9,1,1.9,11.9,11.9,2.071,0,1359.816,0.646,-0.4,-0.6,878.4742,1.2145,1.346,0,1359.816,1.8101,-0.4,-0.2,2461.456,0.509,1.346,0,1359.8,1.2281,-0.4,-0.4,1670,0.9,1.3
HER34L,HER34L_1A,HER34L_1A_11,2.9,2,1,2,12,12,2.071,0,1359.816,0.5661,-0.5,-0.9,769.7318,1.263,1.2583,0,1359.816,1.7825,-0.5,-0.3,2423.927,0.5257,1.2583,0,1359.8,1.1743,-0.5,-0.6,1596.8,0.9,1.3
HER34L,HER34L_1A,HER34L_1A_12,2.9,2.1,1,2.1,12.1,12.1,2.112,0,1386.737,0.5367,-0.5,-0.9,744.3185,1.2808,1.2186,0,1386.737,1.7418,-0.5,-0.3,2415.378,0.5504,1.2186,0,1386.7,1.1393,-0.5,-0.6,1579.8,0.9,1.2
