SITE,SECTION_ID,MSCL_ID,RCT,SB_DEPTH,SECT_NUM,SECT_DEPTH_sed,Field_depth,Strat_depth,CT,PWAmp_SAT,PWVel_SAT,Den1_SAT,MS1_SAT,DCMS1_SAT,Imp_SAT,FP_SAT,RES_SAT,PWAmp_UNSAT,PWVel_UNSAT,Den1_UNSAT,MS1_UNSAT,DCMS1_UNSAT,Imp_UNSAT,FP_UNSAT,RES_UNSAT,PWAmp_SAT_UNSAT,PWVel_SAT_UNSAT,Den1_SAT_UNSAT,MS1_SAT_UNSAT,DCMS1_SAT_UNSAT,Imp_SAT_UNSAT,FP_SAT_UNSAT,RES_SAT_UNSAT
HER42PB,HER42PB_1A,HER42PB_1A_MSCL_1,2.4,935.5,25,0,0,0,2.231,0,22.8455,0.9429,0.3,0.3,21.542,1.0326,4.2649,0,22.8455,1.3604,0.3,0.2,31.0779,0.7941,4.2649,0,22.8455,1.15165,0.3,0.3,26.30995,0.91335,4.2649
HER42PB,HER42PB_1A,HER42PB_1A_MSCL_2,2.4,936,25,0.5,0.5,0.5,2.275,0.0036,1011.561,1.149,0.1,0.1,1162.251,0.9149,3.6278,0.0036,1011.561,1.5238,0.1,0.1,1541.398,0.7007,3.6278,0.0036,1011.561,1.3364,0.1,0.1,1351.8245,0.8078,3.6278
HER42PB,HER42PB_1A,HER42PB_1A_MSCL_3,2.4,936.5,25,1,1,1,2.285,0.0051,1479.922,1.3017,-0.8,-0.6,1926.44,0.8276,9.2626,0.0051,1479.922,1.6671,-0.8,-0.5,2467.248,0.6188,9.2626,0.0051,1479.922,1.4844,-0.8,-0.5,2196.844,0.7232,9.2626
HER42PB,HER42PB_1A,HER42PB_1A_MSCL_4,2.4,937,25,1.5,1.5,1.5,2.327,0.0123,1287.058,1.278,-0.7,-0.5,1644.885,0.8411,8.0701,0.0123,1287.058,1.6369,-0.7,-0.4,2106.723,0.6361,8.0701,0.0123,1287.058,1.45745,-0.7,-0.5,1875.804,0.7386,8.0701
HER42PB,HER42PB_1A,HER42PB_1A_MSCL_5,2.4,937.5,25,2,2,2,2.391,0.0026,998.3299,1.2605,1.2,1,1258.349,0.8512,6.9829,0.0026,998.3299,1.61,1.2,0.7,1607.318,0.6514,6.9829,0.0026,998.3299,1.43525,1.2,0.8,1432.8335,0.7513,6.9829
HER42PB,HER42PB_1A,HER42PB_1A_MSCL_6,2.4,938,25,2.5,2.5,2.5,2.437,0.0014,972.0783,1.2705,5.6,4.4,1235.068,0.8454,3.0982,0.0014,972.0783,1.6151,5.6,3.5,1569.964,0.6485,3.0982,0.0014,972.0783,1.4428,5.6,3.9,1402.516,0.74695,3.0982
HER42PB,HER42PB_1A,HER42PB_1A_MSCL_7,2.4,938.5,25,3,3,3,2.479,0.0037,1372.647,1.3094,4.6,3.5,1797.335,0.8232,3.399,0.0037,1372.647,1.6544,4.6,2.8,2270.896,0.6261,3.399,0.0037,1372.647,1.4819,4.6,3.1,2034.1155,0.72465,3.399
HER42PB,HER42PB_1A,HER42PB_1A_MSCL_8,2.4,939,25,3.5,3.5,3.5,2.536,0.011,1728.698,1.314,12,9.1,2271.555,0.8206,2.1224,0.011,1728.698,1.6573,12,7.2,2864.99,0.6244,2.1224,0.011,1728.698,1.48565,12,8.2,2568.2725,0.7225,2.1224
HER42PB,HER42PB_1A,HER42PB_1A_MSCL_9,2.4,939.5,25,4,4,4,2.573,0.0091,1762.329,1.3203,0.8,0.6,2326.768,0.817,2.1308,0.0091,1762.329,1.6645,0.8,0.5,2933.441,0.6203,2.1308,0.0091,1762.329,1.4924,0.8,0.5,2630.1045,0.71865,2.1308
HER42PB,HER42PB_1A,HER42PB_1A_MSCL_10,2.4,940,25,4.5,4.5,4.5,2.603,0.0206,1912.565,1.3212,-1.3,-1,2526.942,0.8164,2.267,0.0206,1912.565,1.6661,-1.3,-0.8,3186.447,0.6194,2.267,0.0206,1912.565,1.49365,-1.3,-0.9,2856.6945,0.7179,2.267
