"Site","label","depth","mean_age","Wet_den"
"HER42L","HER42L_1A",0,-39.35,0.7882
"HER42L","HER42L_1A",0.3,20.51,1.0062
"HER42L","HER42L_1A",0.6,80.37,1.0339
"HER42L","HER42L_1A",0.9,140.22,1.1067
"HER42L","HER42L_1A",1.2,200.08,1.1971
"HER42L","HER42L_1A",1.5,259.94,1.2452
"HER42L","HER42L_1A",1.8,319.8,1.3511
"HER42L","HER42L_1A",2.1,379.66,1.3874
"HER42L","HER42L_1A",2.4,439.52,1.4366
"HER42L","HER42L_1A",2.7,499.38,1.4874
"HER42L","HER42L_1A",3,559.24,1.5168
"HER42L","HER42L_1A",3.3,619.1,1.5405
"HER42L","HER42L_1A",3.6,678.96,1.5812
"HER42L","HER42L_1A",3.9,738.82,1.6103
"HER42L","HER42L_1A",4.2,798.68,1.4947
"HER42L","HER42L_1A",4.5,858.54,1.4824
"HER42L","HER42L_1A",4.8,918.39,1.3418
"HER42L","HER42L_1A",5.1,961.22,1.2804
"HER42L","HER42L_1A",5.4,969.97,1.1925
"HER42L","HER42L_1A",5.7,978.73,1.1013
"HER42L","HER42L_1A",6,987.48,1.1106
"HER42L","HER42L_1A",6.3,996.24,1.0695
"HER42L","HER42L_1A",6.6,1004.99,1.0012
"HER42L","HER42L_1A",6.9,1013.75,1.0727
"HER42L","HER42L_1A",7.2,1022.5,0.9914
"HER42L","HER42L_1A",7.5,1031.26,1.0081
"HER42L","HER42L_1A",7.8,1040.01,0.8912
"HER42L","HER42L_1A",8.1,1048.77,1.0075
"HER42L","HER42L_1A",8.4,1057.52,0.9962
"HER42L","HER42L_1A",8.7,1066.28,1.0141
"HER42L","HER42L_1A",9,1075.03,1.1113
"HER42L","HER42L_1A",9.3,1083.79,1.0038
"HER42L","HER42L_1A",9.6,1092.54,1.1058
"HER42L","HER42L_1A",9.9,1101.3,0.99
"HER42L","HER42L_1A",10.2,1106.23,1.0151
"HER42L","HER42L_1A",10.5,1109.25,1.1441
"HER42L","HER42L_1A",10.8,1112.27,1.0628
"HER42L","HER42L_1A",11.1,1115.29,1.1022
"HER42L","HER42L_1A",11.4,1118.31,1.0922
"HER42L","HER42L_1A",11.7,1121.33,1.0598
"HER42L","HER42L_1A",12,1124.36,1.0916
"HER42L","HER42L_1A",12.3,1127.38,1.0414
"HER42L","HER42L_1A",12.6,1130.4,1.0445
"HER42L","HER42L_1A",12.9,1133.42,1.077
"HER42L","HER42L_1A",13.2,1136.44,1.0824
"HER42L","HER42L_1A",13.5,1139.46,1.1057
"HER42L","HER42L_1A",13.8,1142.48,1.1228
"HER42L","HER42L_1A",14.1,1145.5,1.1728
"HER42L","HER42L_1A",14.4,1148.52,1.1323
"HER42L","HER42L_1A",14.7,1151.54,1.1524
"HER42L","HER42L_1A",15,1154.56,1.1728
"HER42L","HER42L_1A",15.3,1157.38,1.1392
"HER42L","HER42L_1A",15.6,1160.2,1.1597
"HER42L","HER42L_1A",15.9,1163.02,1.0654
"HER42L","HER42L_1A",16.2,1165.84,1.1174
"HER42L","HER42L_1A",16.5,1168.65,1.1015
"HER42L","HER42L_1A",16.8,1171.47,1.0332
"HER42L","HER42L_1A",17.1,1174.29,1.2178
"HER42L","HER42L_1A",17.4,1177.11,1.0694
"HER42L","HER42L_1A",17.7,1179.93,1.0482
"HER42L","HER42L_1A",18,1182.74,1.0867
"HER42L","HER42L_1A",18.3,1185.56,1.0774
"HER42L","HER42L_1A",18.6,1188.38,1.0915
"HER42L","HER42L_1A",18.9,1191.2,1.0621
"HER42L","HER42L_1A",19.2,1194.02,1.0794
"HER42L","HER42L_1A",19.5,1196.83,1.1441
"HER42L","HER42L_1A",19.8,1199.65,1.0869
"HER42L","HER42L_1A",20.1,1202.49,1.1224
"HER42L","HER42L_1A",20.4,1205.38,1.1015
"HER42L","HER42L_1A",20.7,1208.27,1.1208
"HER42L","HER42L_1A",21,1211.16,1.1684
"HER42L","HER42L_1A",21.3,1214.05,1.0994
"HER42L","HER42L_1A",21.6,1216.94,1.1668
"HER42L","HER42L_1A",21.9,1219.83,1.1106
"HER42L","HER42L_1A",22.2,1222.72,1.126
"HER42L","HER42L_1A",22.5,1225.61,1.0177
"HER42L","HER42L_1A",22.8,1228.5,1.1153
"HER42L","HER42L_1A",23.1,1231.39,1.0787
"HER42L","HER42L_1A",23.4,1234.28,1.1127
"HER42L","HER42L_1A",23.7,1237.17,1.1384
"HER42L","HER42L_1A",24,1240.06,1.0395
"HER42L","HER42L_1A",24.3,1242.95,1.0051
"HER42L","HER42L_1A",24.6,1245.84,1.015
"HER42L","HER42L_1A",24.9,1248.73,1.2088
"HER42L","HER42L_1A",25.2,1251.63,0.933
"HER42L","HER42L_1A",25.5,1254.54,1.0276
"HER42L","HER42L_1A",25.8,1257.45,1.07
"HER42L","HER42L_1A",26.1,1260.36,1.1711
"HER42L","HER42L_1A",26.4,1263.26,1.0699
"HER42L","HER42L_1A",26.7,1266.17,1.0533
"HER42L","HER42L_1A",27,1269.08,1.1347
"HER42L","HER42L_1A",27.3,1271.99,1.0914
"HER42L","HER42L_1A",27.6,1274.89,1.1539
"HER42L","HER42L_1A",27.9,1277.8,1.0985
"HER42L","HER42L_1A",28.2,1280.71,1.2284
"HER42L","HER42L_1A",28.5,1283.62,1.0423
"HER42L","HER42L_1A",28.8,1286.52,1.1909
"HER42L","HER42L_1A",29.1,1289.43,1.0404
"HER42L","HER42L_1A",29.4,1292.34,1.4696
"HER42L","HER42L_1A",29.7,1295.25,1.2564
"HER42L","HER42L_1A",30,1298.15,1.2276
"HER42L","HER42L_1A",30.3,1300.99,1.0835
"HER42L","HER42L_1A",30.6,1303.82,1.0418
"HER42L","HER42L_1A",30.9,1306.66,1.0182
"HER42L","HER42L_1A",31.2,1309.49,1.0211
"HER42L","HER42L_1A",31.5,1312.33,0.9895
"HER42L","HER42L_1A",31.8,1315.16,1.0531
"HER42L","HER42L_1A",32.1,1318,1.0829
"HER42L","HER42L_1A",32.4,1320.83,1.0065
"HER42L","HER42L_1A",32.7,1323.67,0.9363
"HER42L","HER42L_1A",33,1326.5,1.0796
"HER42L","HER42L_1A",33.3,1329.34,1.0988
"HER42L","HER42L_1A",33.6,1332.17,1.0884
"HER42L","HER42L_1A",33.9,1335.01,1.215
"HER42L","HER42L_1A",34.2,1337.84,1.2107
"HER42L","HER42L_1A",34.5,1340.68,1.1179
"HER42L","HER42L_1A",34.8,1343.51,1.0534
"HER42L","HER42L_1A",35.1,1346.37,1.0471
"HER42L","HER42L_1A",35.4,1349.27,1.0707
"HER42L","HER42L_1A",35.7,1352.18,1.0637
"HER42L","HER42L_1A",36,1355.08,1.0613
"HER42L","HER42L_1A",36.3,1357.99,1.0795
"HER42L","HER42L_1A",36.6,1360.89,1.045
"HER42L","HER42L_1A",36.9,1363.79,1.0212
"HER42L","HER42L_1A",37.2,1366.7,1.0268
"HER42L","HER42L_1A",37.5,1369.6,0.9901
"HER42L","HER42L_1A",37.8,1372.5,0.9197
"HER42L","HER42L_1A",38.1,1375.41,0.9622
"HER42L","HER42L_1A",38.4,1378.31,0.9999
"HER42L","HER42L_1A",38.7,1381.21,1.0423
"HER42L","HER42L_1A",39,1384.12,1.0353
"HER42L","HER42L_1A",39.3,1387.02,1.0898
"HER42L","HER42L_1A",39.6,1389.93,1.0345
"HER42L","HER42L_1A",39.9,1392.83,1.0053
"HER42L","HER42L_1A",40.2,1395.72,1.0266
"HER42L","HER42L_1A",40.5,1398.61,1.0376
"HER42L","HER42L_1A",40.8,1401.5,1.0578
"HER42L","HER42L_1A",41.1,1404.39,1.0654
"HER42L","HER42L_1A",41.4,1407.28,1.0471
"HER42L","HER42L_1A",41.7,1410.17,1.0063
"HER42L","HER42L_1A",42,1413.06,1.0721
"HER42L","HER42L_1A",42.3,1415.95,1.0242
"HER42L","HER42L_1A",42.6,1418.84,0.9708
"HER42L","HER42L_1A",42.9,1421.73,0.9755
"HER42L","HER42L_1A",43.2,1424.62,1.06
"HER42L","HER42L_1A",43.5,1427.51,1.0846
"HER42L","HER42L_1A",43.8,1430.4,1.063
"HER42L","HER42L_1B",44.1,1433.29,1.0664
"HER42L","HER42L_1B",44.4,1436.18,1.0763
"HER42L","HER42L_1B",44.7,1439.07,1.1445
"HER42L","HER42L_1B",45,1441.96,1.1371
"HER42L","HER42L_1B",45.3,1445,1.131
"HER42L","HER42L_1B",45.6,1448.04,1.1501
"HER42L","HER42L_1B",45.9,1451.08,1.149
"HER42L","HER42L_1B",46.2,1454.11,1.1045
"HER42L","HER42L_1B",46.5,1457.15,1.0821
"HER42L","HER42L_1B",46.8,1460.19,1.096
"HER42L","HER42L_1B",47.1,1463.22,1.1293
"HER42L","HER42L_1B",47.4,1466.26,1.1458
"HER42L","HER42L_1B",47.7,1469.3,1.0208
"HER42L","HER42L_1B",48,1472.33,1.0728
